"City","type","id","lon","lat","place","name","name:en","wikidata"
Bangkok,node,340034820,100.4949589,13.7611729,neighbourhood,บางลำพู,Banglamphu,
Bangkok,node,340165036,100.5089484,13.741907,neighbourhood,เยาวราช,Yaowarat,
Bangkok,node,485865234,100.5358513,13.7200471,neighbourhood,ทุ่งมหาเมฆ,Thung Maha Mek,
Bangkok,node,485865239,100.5220756,13.7098976,neighbourhood,วัดดอน,Wat Don,
Bangkok,node,893975239,100.5524342,13.8651548,neighbourhood,,Garden City Lagoon,
Bangkok,node,1215714268,100.0357907,13.8135093,neighbourhood,ปฐมทองซิตี้,Pathom Thong Siti,
Bangkok,node,1215714269,100.037105,13.8101753,neighbourhood,หมู่บ้านชมภูนิเวศน์,Muban Chom Phu Niwet,
Bangkok,node,1221150401,100.2572449,13.7415527,suburb,ท่าตลาด,Tha Talat,
Bangkok,node,1226375750,100.0754658,13.8275788,suburb,บ่อพลับ,Bo Phlap,
Bangkok,node,1230207241,100.1314371,13.7935821,suburb,พะเนียด,Pha Niat,
Bangkok,node,1230209084,100.1146894,13.8120706,suburb,ธรรมศาลา,Tham Sala,
Bangkok,node,1233621053,100.2067466,13.7148974,suburb,บางช้าง,Bang Chang,
Bangkok,node,1233632638,100.2429867,13.7005343,suburb,ท่าข้าม,Tha Kham,
Bangkok,node,1233695714,100.2055825,13.7231824,suburb,คลองใหม่,Khlong Mai,
Bangkok,node,1245404677,100.2577973,13.7200734,suburb,ยายชา,,
Bangkok,node,1245783762,100.0195187,13.6418582,suburb,โพหัก,Pho Hak,
Bangkok,node,1271887267,100.3657308,13.5970384,suburb,บางน้ำจืด,Bang Namchuet,
Bangkok,node,1524353680,100.4380554,13.6179907,neighbourhood,ท่าข้าม,Tha Kam,
Bangkok,node,1537804250,100.0506235,13.8093675,suburb,สนามจันทร์,,
Bangkok,node,1564684425,100.0361717,13.8121597,suburb,ลำพยา,Lam Phaya,
Bangkok,node,1593649414,99.9776156,13.4167005,neighbourhood,หมู่บ้านเฉลิมพระเกียรติ ร.๙,Muban Chaloemphrakiat Ro 9,
Bangkok,node,1870876692,100.4293889,13.7122189,neighbourhood,ชุมชนตานเรือ,Chumchon Tan Ruea,
