"place","place_label","location"
"http://www.wikidata.org/entity/Q1861","Bangkok","Point(100.516666666 13.75)"
"http://www.wikidata.org/entity/Q1365723","Pathum Thani","Point(100.482778 14.051111)"
"http://www.wikidata.org/entity/Q13025370","Ban Suan","Point(100.9795 13.3616)"
"http://www.wikidata.org/entity/Q1026368","Chachoengsao","Point(101.070277777 13.690277777)"
"http://www.wikidata.org/entity/Q138589","Chon Buri","Point(100.985 13.361111111)"
"http://www.wikidata.org/entity/Q15980692","Khu Khot","Point(100.6508 13.9426)"
"http://www.wikidata.org/entity/Q15199201","Bang Bua Thong","Point(100.4263 13.9099)"
"http://www.wikidata.org/entity/Q15980702","Sena","Point(100.4049 14.3273)"
"http://www.wikidata.org/entity/Q13025394","Lam Sam Kaeo","Point(100.6506 13.9726)"
"http://www.wikidata.org/entity/Q13025373","Bueng Yitho","Point(100.6687 13.995)"
"http://www.wikidata.org/entity/Q13025361","Tha Khlong","Point(100.6237 14.0894)"
"http://www.wikidata.org/entity/Q13025367","Bang Si Mueang","Point(100.4829 13.8444)"
"http://www.wikidata.org/entity/Q15199204","Bang Kruai","Point(100.4755 13.8042)"
"http://www.wikidata.org/entity/Q15176892","Phra Pradaeng","Point(100.5329 13.659)"
"http://www.wikidata.org/entity/Q13025389","Lat Luang","Point(100.533049 13.629839)"
"http://www.wikidata.org/entity/Q13025379","Pu Chao Saming Phrai","Point(100.577968 13.643935)"
"http://www.wikidata.org/entity/Q13025375","Pak Nam Samut Prakan","Point(100.6199 13.599)"
"http://www.wikidata.org/entity/Q15217707","Krathum Lom","Point(100.3139 13.7482)"
"http://www.wikidata.org/entity/Q15199163","Phimon Rat","Point(100.392222222 13.918888888)"
"http://www.wikidata.org/entity/Q15216155","Krathum Baen","Point(100.2572 13.6519)"
"http://www.wikidata.org/entity/Q4853694","Ban Pong","Point(99.883 13.8174)"
"http://www.wikidata.org/entity/Q13409879","Si Racha","Point(100.93055556 13.17444444)"
"http://www.wikidata.org/entity/Q13025414","Photharam","Point(99.8531 13.6918)"
"http://www.wikidata.org/entity/Q13025411","Saen Suk","Point(100.9144 13.2882)"
"http://www.wikidata.org/entity/Q1361155","Samut Songkhram","Point(100.001666666 13.409722222)"
"http://www.wikidata.org/entity/Q1207138","Ratchaburi","Point(99.816944444 13.536666666)"
"http://www.wikidata.org/entity/Q530178","Ang Sila","Point(100.92777778 13.33638889)"
"http://www.wikidata.org/entity/Q16513029","Lat Bua Luang","Point(100.3134 14.1668)"
"http://www.wikidata.org/entity/Q15310482","Lam Luk Ka","Point(100.7375 13.9297)"
"http://www.wikidata.org/entity/Q13025346","Sai Noi","Point(100.3135 13.9782)"
"http://www.wikidata.org/entity/Q15980674","Bang Khla","Point(101.2105 13.7268)"
"http://www.wikidata.org/entity/Q15980693","Lak Hok","Point(100.6012 13.958)"
"http://www.wikidata.org/entity/Q15904519","Bang Phlap","Point(100.4684 13.9241)"
"http://www.wikidata.org/entity/Q7710650","Thanyaburi","Point(100.75 14.0167)"
"http://www.wikidata.org/entity/Q2658511","Bang Pa-in","Point(100.575651 14.22758)"
"http://www.wikidata.org/entity/Q15199188","Plai Bang","Point(100.4154 13.8139)"
"http://www.wikidata.org/entity/Q13025329","Sao Thong Hin","Point(100.4037 13.8782)"
"http://www.wikidata.org/entity/Q13025221","Bang Muang","Point(100.4242 13.8514)"
"http://www.wikidata.org/entity/Q13025280","Samrong Nuea","Point(100.603901 13.642053)"
"http://www.wikidata.org/entity/Q13025226","Bang Mueang","Point(100.6104 13.6138)"
"http://www.wikidata.org/entity/Q13025222","Bang Sao Thong","Point(100.7957 13.5812)"
"http://www.wikidata.org/entity/Q16267152","Salaya","Point(100.3208 13.8023)"
"http://www.wikidata.org/entity/Q15106517","Bang Pu","Point(100.6175 13.5441)"
"http://www.wikidata.org/entity/Q13025240","Ban Bang Muang","Point(100.3859 13.8273)"
"http://www.wikidata.org/entity/Q13025232","Bang Yai","Point(100.35906 13.8369)"
"http://www.wikidata.org/entity/Q15216159","Na Di","Point(100.2818 13.5961)"
"http://www.wikidata.org/entity/Q13025271","Suan Luang","Point(100.308555 13.681065)"
"http://www.wikidata.org/entity/Q15382312","Amphawa","Point(99.9559 13.4248)"
"http://www.wikidata.org/entity/Q13025301","Ko Sichang","Point(100.8079 13.1638)"
"http://www.wikidata.org/entity/Q11960114","Ban Phaeo","Point(100.103514 13.586766)"
"http://www.wikidata.org/entity/Q3360716","Pak Kret","Point(100.497777777 13.9125)"
"http://www.wikidata.org/entity/Q14230710","Rangsit","Point(100.609485 13.987034)"
"http://www.wikidata.org/entity/Q203370","Phra Nakhon Si Ayutthaya","Point(100.565 14.355)"
"http://www.wikidata.org/entity/Q768864","Nonthaburi","Point(100.516666666 13.866666666)"
"http://www.wikidata.org/entity/Q13139252","Samut Prakan","Point(100.5964 13.6004)"
"http://www.wikidata.org/entity/Q13025345","Om Noi","Point(100.3241 13.7001)"
"http://www.wikidata.org/entity/Q1359220","Samut Sakhon","Point(100.2775 13.548611111)"
"http://www.wikidata.org/entity/Q520338","Nakhon Pathom","Point(100.058056 13.819444)"
"http://www.wikidata.org/entity/Q6648577","Royal City Avenue","Point(100.57694444 13.75)"
"http://www.wikidata.org/entity/Q13023150","Buasarin Village","Point(100.396111 13.919167)"
