"place","place_label","location"
"http://www.wikidata.org/entity/Q6900669","Mae Hia","Point(98.964 18.7433)"
"http://www.wikidata.org/entity/Q1211214","Lamphun","Point(99.007222222 18.580277777)"
"http://www.wikidata.org/entity/Q19838141","Phichai","Point(99.5384 18.3323)"
"http://www.wikidata.org/entity/Q13025401","Khelang Nakhon","Point(99.5047 18.2918)"
"http://www.wikidata.org/entity/Q13025355","Ton Pao","Point(99.0784 18.7591)"
"http://www.wikidata.org/entity/Q13025410","Mae Cho","Point(99.004111111 18.903194444)"
"http://www.wikidata.org/entity/Q21509765","Pa Sak","Point(99.0355 18.5481)"
"http://www.wikidata.org/entity/Q15271457","Suthep","Point(98.9499 18.7694)"
"http://www.wikidata.org/entity/Q13025277","San Kamphaeng","Point(99.1167 18.75)"
"http://www.wikidata.org/entity/Q16308052","Tha Kham","Point(98.5974 18.2025)"
"http://www.wikidata.org/entity/Q13025242","Ban Luang","Point(98.6747 18.4901)"
"http://www.wikidata.org/entity/Q13025193","Chom Thong","Point(98.6758 18.418)"
"http://www.wikidata.org/entity/Q2892289","Pai","Point(98.436666666 19.358888888)"
"http://www.wikidata.org/entity/Q25144217","Nong Han","Point(98.9835 18.9464)"
"http://www.wikidata.org/entity/Q19698463","Chom Chaeng","Point(98.9396 19.0625)"
"http://www.wikidata.org/entity/Q19001445","Wiang Phrao","Point(99.2022 19.3645)"
"http://www.wikidata.org/entity/Q16956760","Chedi Mae Khrua","Point(98.982 18.9755)"
"http://www.wikidata.org/entity/Q52028","Chiang Mai","Point(98.983333333 18.788888888)"
"http://www.wikidata.org/entity/Q1012610","Lampang","Point(99.5 18.3)"
