City,type,id,lon,lat,place,name,name:en,wikidata
Hanoi,node,2491842771,106.6512226,20.8684641,neighbourhood,An Lạc 1,,
Hanoi,node,2491842772,106.6533534,20.867737,neighbourhood,An Lạc 2,,
Hanoi,node,2491842773,106.6123357,20.8143159,neighbourhood,An Tràng,,
Hanoi,node,2491842774,106.6078787,20.8150082,neighbourhood,An Tràng,,
Hanoi,node,2491842775,106.6116714,20.8152018,neighbourhood,An Tràng,,
Hanoi,node,2491842776,106.6071654,20.8161257,neighbourhood,An Tràng,,
Hanoi,node,2491842778,106.6459733,20.8634572,neighbourhood,An Trì,,
Hanoi,node,2491842779,106.6456324,20.8650575,neighbourhood,An Trì,,
Hanoi,node,2491842780,106.6434774,20.8657472,neighbourhood,An Trì,,
Hanoi,node,2491842781,106.6438987,20.8681749,neighbourhood,An Trì,,
Hanoi,node,2491842782,106.6464095,20.8688637,neighbourhood,An Trì,,
Hanoi,node,2491842783,106.645879,20.8755411,neighbourhood,An Trì,,
Hanoi,node,2491842816,106.6622739,20.8603358,neighbourhood,B1,,
Hanoi,node,2491842819,106.6629454,20.857103,neighbourhood,B2,,
Hanoi,node,2491842820,106.6640779,20.8563672,neighbourhood,B3,,
Hanoi,node,2491842831,106.6724484,20.8625778,neighbourhood,Bạch Đằng 1,,
Hanoi,node,2491842832,106.675512,20.8623701,neighbourhood,Bạch Đằng 2,,
Hanoi,node,2491842833,106.6764277,20.8632869,neighbourhood,Bạch Đằng 3,,
Hanoi,node,2491842834,106.6764399,20.8642491,neighbourhood,Bạch Đằng 3,,
Hanoi,node,2491842836,106.6781352,20.9203526,neighbourhood,Bạch Đằng,,
Hanoi,node,2491842837,106.6647194,20.854493,neighbourhood,C,,
Hanoi,node,2491842841,106.6382496,20.8722076,neighbourhood,Cam Lộ 1,,
Hanoi,node,2491842842,106.6383409,20.8677285,neighbourhood,Cam Lộ 2,,
Hanoi,node,2491842843,106.635516,20.8689672,neighbourhood,Cam Lộ 2,,
Hanoi,node,2491842844,106.6319751,20.8715759,neighbourhood,Cam Lộ 2,,
Hanoi,node,2491842845,106.6316612,20.8699093,neighbourhood,Cam Lộ 3,,
Hanoi,node,2491842846,106.6352951,20.8731887,neighbourhood,Cam Lộ 3,,
Hanoi,node,2491842852,106.6354102,20.8771585,neighbourhood,Cam Lộ 3,,
Hanoi,node,2491842853,106.6735655,20.8599118,neighbourhood,Cao Thắng 1,,
Hanoi,node,2491842854,106.6706096,20.8594416,neighbourhood,Cao Thắng 2,,
Hanoi,node,2491842855,106.6651958,20.8576799,neighbourhood,Chi Lăng,,
Hanoi,node,2491842865,106.6784366,20.8514431,neighbourhood,Chùa Vẻm,,
Hanoi,node,2491842866,106.6798213,20.8517186,neighbourhood,Chùa Vẻm,,
Hanoi,node,2491842885,106.6795291,20.8639208,neighbourhood,Cù Chính Lan,,
Hanoi,node,2491842917,106.6779665,20.8648598,neighbourhood,Cù Chính Lan,,
Hanoi,node,2491843043,106.672457,20.7545354,neighbourhood,Cầu Đen,,
Hanoi,node,2491843102,106.669548,20.7500272,neighbourhood,Cẩm Xuân,,
Hanoi,node,2491843124,106.6369049,20.8037832,neighbourhood,Cận Sơn,,
Hanoi,node,2491843157,106.6368393,20.8047495,neighbourhood,Cận Sơn,,
Hanoi,node,2491843173,106.6785005,20.8501936,neighbourhood,Cột Đèn,,
Hanoi,node,2491843174,106.6792823,20.8502314,neighbourhood,Cột Đèn,,
Hanoi,node,2491843179,106.6250733,20.7959258,neighbourhood,Gò Công 1,,
Hanoi,node,2491843180,106.6257502,20.7983085,neighbourhood,Gò Công 1,,
Hanoi,node,2491843204,106.6271084,20.8003406,neighbourhood,Gò Công 1,,
Hanoi,node,2491843228,106.6260067,20.8012486,neighbourhood,Gò Công 1,,
Hanoi,node,2491843230,106.6234696,20.7995746,neighbourhood,Gò Công 2,,
Hanoi,node,2491843231,106.6215625,20.7917651,neighbourhood,Hoà Bình,,
Hanoi,node,2491843232,106.6193972,20.7918616,neighbourhood,Hoà Bình,,
Hanoi,node,2491843233,106.6252552,20.8104149,neighbourhood,Hoà Bình,,
Hanoi,node,2491843234,106.624838,20.8124211,neighbourhood,Hoà Bình,,
Hanoi,node,2491843273,106.5503268,20.8197209,neighbourhood,Hoàng Xá,,
Hanoi,node,2491843282,106.5543087,20.8216032,neighbourhood,Hoàng Xá,,
Hanoi,node,2491843283,106.5480111,20.827279,neighbourhood,Hoàng Xá,,
Hanoi,node,2491843284,106.680148,20.9168606,neighbourhood,Hàm Long,,
Hanoi,node,2491843290,106.6826341,20.8416454,neighbourhood,Hàng Kênh 3,,
Hanoi,node,2491843292,106.6786497,20.8605452,neighbourhood,Hạ Lý 1,,
Hanoi,node,2491843293,106.6770924,20.8587893,neighbourhood,Hạ Lý 2,,
Hanoi,node,2491843431,106.6742953,20.7517705,neighbourhood,Hồ Sen,,
Hanoi,node,2491843544,106.6598081,20.8685788,neighbourhood,Kiến Thiết 3,,
Hanoi,node,2491843624,106.6801291,20.8590871,neighbourhood,Kỳ Đồng,,
Hanoi,node,2491843626,106.6320737,20.8029902,neighbourhood,Liên Sơn,,
Hanoi,node,2491843627,106.6340274,20.8037897,neighbourhood,Liên Sơn,,
Hanoi,node,2491843628,106.6575958,20.8252925,neighbourhood,Lãm Khê,,
Hanoi,node,2491843629,106.660219,20.8280519,neighbourhood,Lãm Khê,,
Hanoi,node,2491843630,106.6783584,20.8565196,neighbourhood,Lãn Ông,,
Hanoi,node,2491843632,106.6265537,20.8107776,neighbourhood,Lê Quốc Uy,,
Hanoi,node,2491843633,106.6263687,20.8126145,neighbourhood,Lê Quốc Uy,,
Hanoi,node,2491843634,106.6272613,20.8144474,neighbourhood,Lê Quốc Uy,,
Hanoi,node,2491843635,106.6297948,20.7974324,neighbourhood,Lý Thường Kiệt,,
Hanoi,node,2491843636,106.6733234,20.8565691,neighbourhood,Lý Thường Kiệt,,
Hanoi,node,2491843637,106.6776462,20.8573589,neighbourhood,Lý Thường Kiệt,,
Hanoi,node,2491843638,106.6799697,20.8595715,neighbourhood,Lý Thường Kiệt,,
Hanoi,node,2491843697,106.6785863,20.8435884,neighbourhood,Miếu,,
Hanoi,node,2491843734,106.6628693,20.8177435,neighbourhood,Mỹ Khê,,
Hanoi,node,2491843735,106.6681323,20.8218029,neighbourhood,Mỹ Khê,,
Hanoi,node,2491843736,106.6679498,20.8221997,neighbourhood,Mỹ Khê,,
Hanoi,node,2491843741,106.6296067,20.8034522,neighbourhood,Nam Sơn,,
Hanoi,node,2491843866,106.680704,20.8612932,neighbourhood,Phan Bá Trực,,
Hanoi,node,2491843877,106.6778398,20.8566587,neighbourhood,Phan Bội Châu,,
Hanoi,node,2491843883,106.6591987,20.7903191,neighbourhood,Phúc Hải 1,,
Hanoi,node,2491843887,106.6575696,20.790392,neighbourhood,Phúc Hải 1,,
Hanoi,node,2491843923,106.656693,20.7925771,neighbourhood,Phúc Hải 1,,
Hanoi,node,2491843935,106.6588389,20.7927809,neighbourhood,Phúc Hải 1,,
Hanoi,node,2491843936,106.6595475,20.7958771,neighbourhood,Phúc Hải 2,,
Hanoi,node,2491843937,106.6578125,20.7960702,neighbourhood,Phúc Hải 2,,
Hanoi,node,2491843938,106.6769723,20.8008357,neighbourhood,Phúc Lộc,,
Hanoi,node,2491843939,106.6764894,20.8031099,neighbourhood,Phúc Lộc,,
Hanoi,node,2491843940,106.6792864,20.8039816,neighbourhood,Phúc Lộc,,
Hanoi,node,2491843941,106.6757686,20.790382,neighbourhood,Phương Lung,,
Hanoi,node,2491843942,106.6809688,20.7930898,neighbourhood,Phương Lung,,
Hanoi,node,2491843943,106.6782838,20.7932844,neighbourhood,Phương Lung,,
Hanoi,node,2491843948,106.6771479,20.8626837,neighbourhood,Phạm Phú Thứ 1,,
Hanoi,node,2491843949,106.6748632,20.8593664,neighbourhood,Phạm Phú Thứ 2,,
Hanoi,node,2491843956,106.6264735,20.796308,neighbourhood,Quy Tức,,
Hanoi,node,2491843957,106.6276027,20.7963687,neighbourhood,Quy Tức,,
Hanoi,node,2491843966,106.6798845,20.8399255,neighbourhood,Quán Nải,,
Hanoi,node,2491843967,106.6793226,20.8363071,neighbourhood,Quán Sỏi,,
Hanoi,node,2491843968,106.6784523,20.8367232,neighbourhood,Quán Sỏi,,
Hanoi,node,2491843969,106.6599247,20.7989927,neighbourhood,Quảng Luận,,
Hanoi,node,2491843970,106.6610632,20.8026992,neighbourhood,Quảng Luận,,
Hanoi,node,2491843971,106.6625614,20.8043179,neighbourhood,Quảng Luận,,
Hanoi,node,2491843972,106.6278444,20.8714593,neighbourhood,Quỳnh Cư,,
Hanoi,node,2491843973,106.628384,20.8733519,neighbourhood,Quỳnh Cư,,
Hanoi,node,2491843984,106.6249926,20.8761294,neighbourhood,Quỳnh Cư,,
Hanoi,node,2491843985,106.6309085,20.8770358,neighbourhood,Quỳnh Cư,,
Hanoi,node,2491843986,106.6289361,20.8784436,neighbourhood,Quỳnh Cư,,
Hanoi,node,2491843987,106.6247467,20.8795725,neighbourhood,Quỳnh Cư,,
Hanoi,node,2491843989,106.6718244,20.8565787,neighbourhood,Tam Bạc,,
Hanoi,node,2491844158,106.6656623,20.8622872,neighbourhood,Thắng Lợi,,
Hanoi,node,2491844159,106.6700166,20.7550851,neighbourhood,Thọ Xuân,,
Hanoi,node,2491844162,106.6682298,20.8571355,neighbourhood,Tiến Bộ,,
Hanoi,node,2491844163,106.6688925,20.8572892,neighbourhood,Tiến Bộ,,
