"place","place_label","location"
"http://www.wikidata.org/entity/Q10826616","Thổ Hà","Point(106.033 21.2)"
"http://www.wikidata.org/entity/Q6710843","Lãng Ngâm, Ngân Sơn","Point(106.15 21.083333333)"
"http://www.wikidata.org/entity/Q10842002","Đồng Sơn, Bắc Giang","Point(106.1961111 21.24361111)"
"http://www.wikidata.org/entity/Q10768863","Hoài Thượng","Point(106.03333333 21.3)"
"http://www.wikidata.org/entity/Q7189863","Phú Bình","Point(105.933333333 21.466666666)"
"http://www.wikidata.org/entity/Q2612289","Q2612289","Point(105.94722 21.26972)"
"http://www.wikidata.org/entity/Q2571195","Q2571195","Point(105.93667 21.27056)"
"http://www.wikidata.org/entity/Q2213618","Việt Tiến","Point(106.0419444 21.31861111)"
"http://www.wikidata.org/entity/Q2193410","Tiền Phong","Point(106.1697222 21.23166667)"
"http://www.wikidata.org/entity/Q10841090","Đại Hóa","Point(106.0533333 21.42916667)"
"http://www.wikidata.org/entity/Q10832848","Việt Lập","Point(106.1497222 21.35444444)"
"http://www.wikidata.org/entity/Q10800588","Ngọc Châu","Point(106.0836111 21.3775)"
"http://www.wikidata.org/entity/Q8084027","Ải Thôn","Point(106.066666666 21.35)"
"http://www.wikidata.org/entity/Q7938093","Việt Ngọc","Point(106.0330556 21.38222222)"
"http://www.wikidata.org/entity/Q7023316","Ngọc Vân","Point(106.0408333 21.35861111)"
"http://www.wikidata.org/entity/Q2258546","Q2258546","Point(106.20139 21.32167)"
"http://www.wikidata.org/entity/Q2252775","Ngọc Thiện","Point(106.0772222 21.34805556)"
"http://www.wikidata.org/entity/Q2096802","Lam Cốt","Point(106.05 21.40583)"
"http://www.wikidata.org/entity/Q5202992","Cẩm Giàng, Bắc Kạn","Point(105.966666666 21.133333333)"
"http://www.wikidata.org/entity/Q1243952","Vietnam Friendship Village","Point(105.7379167 21.03241667)"
"http://www.wikidata.org/entity/Q10783653","Kẻ Sặt","Point(106.15 20.9167)"
"http://www.wikidata.org/entity/Q7945012","Vĩnh Hồng","Point(106.1761111 20.90333333)"
"http://www.wikidata.org/entity/Q5295773","Dong Thai","Point(105.9 20.866666666)"
"http://www.wikidata.org/entity/Q5962895","Hà Vị","Point(105.916666666 20.816666666)"
"http://www.wikidata.org/entity/Q1858","Hanoi","Point(105.85 21.033333333)"
"http://www.wikidata.org/entity/Q33381","Bắc Ninh","Point(106.05 21.183333333)"
"http://www.wikidata.org/entity/Q36736","Bắc Giang","Point(106.2 21.266666666)"
"http://www.wikidata.org/entity/Q36088","Vĩnh Yên","Point(105.596666666 21.31)"
"http://www.wikidata.org/entity/Q36485","Hưng Yên","Point(106.066666666 20.65)"
