"place","place_label","location"
"http://www.wikidata.org/entity/Q6073429","Q6073429","Point(29.036377 41.153016)"
"http://www.wikidata.org/entity/Q6073060","Q6073060","Point(29.036377 41.153016)"
"http://www.wikidata.org/entity/Q3395754","Yeniköy of Bosporus","Point(29.066 41.118)"
"http://www.wikidata.org/entity/Q12810206","Kandilli","Point(29.057777777 41.073055555)"
"http://www.wikidata.org/entity/Q6084271","Zincirlikuyu","Point(29.014 41.071)"
"http://www.wikidata.org/entity/Q3298451","İstinye","Point(29.05 41.1)"
"http://www.wikidata.org/entity/Q1050148","Maslak","Point(29.02111111 41.10888889)"
"http://www.wikidata.org/entity/Q48898","Levent","Point(29.01584 41.08181)"
"http://www.wikidata.org/entity/Q5288862","Dolapdere","Point(28.98333333 41.03333333)"
"http://www.wikidata.org/entity/Q3302981","Hasköy","Point(28.94972222 41.03972222)"
"http://www.wikidata.org/entity/Q3299454","Kurtuluş","Point(28.98095 41.04845)"
"http://www.wikidata.org/entity/Q1775820","Kasımpaşa","Point(28.98333333 41.05)"
"http://www.wikidata.org/entity/Q2921300","Çengelköy","Point(29.062011111 41.049130555)"
"http://www.wikidata.org/entity/Q1095321","Arnavutköy","Point(29.041125 41.068024)"
"http://www.wikidata.org/entity/Q272548","Q272548","Point(29.06845 41.02608)"
"http://www.wikidata.org/entity/Q12813027","İçerenköy","Point(29.1164 40.9692)"
"http://www.wikidata.org/entity/Q7447468","Selamsız","Point(29.02926944 41.02348611)"
"http://www.wikidata.org/entity/Q6076941","Q6076941","Point(28.99848583 41.04304783)"
"http://www.wikidata.org/entity/Q6073801","Q6073801","Point(29.03056183 41.027715)"
"http://www.wikidata.org/entity/Q6072799","Q6072799","Point(29.01372283 41.01876)"
"http://www.wikidata.org/entity/Q6072499","Q6072499","Point(29.03983683 41.02965483)"
"http://www.wikidata.org/entity/Q6069210","Q6069210","Point(29.02543883 41.03370183)"
"http://www.wikidata.org/entity/Q6067818","Q6067818","Point(29.09413583 40.960545)"
"http://www.wikidata.org/entity/Q6066292","Q6066292","Point(28.994948 41.050857)"
"http://www.wikidata.org/entity/Q5656849","Harem, Üsküdar","Point(29.010338888 41.010688888)"
