"City","type","id","lon","lat","place","name","name:en","wikidata"
Kuala Lumpur,node,141466329,101.5295447,3.0551912,suburb,Seksyen 19,,
Kuala Lumpur,node,149981681,101.8101116,2.8534816,neighbourhood,Nilai 3,,
Kuala Lumpur,node,188355111,101.5549277,3.1001369,suburb,Section U2,,
Kuala Lumpur,node,207139837,101.4803759,3.1019373,suburb,Bukit Bandaraya,,
Kuala Lumpur,node,215690552,101.5093889,3.0848944,suburb,Seksyen 6,Section 6,
Kuala Lumpur,node,248777806,101.5074293,3.0753969,suburb,Seksyen 3,Section 3,
Kuala Lumpur,node,248778047,101.5271152,3.0768324,suburb,Seksyen 11,Sectioni 11,
Kuala Lumpur,node,248778087,101.525261,3.0858922,suburb,Seksyen 9,Section 9,
Kuala Lumpur,node,248778557,101.520502,3.0704724,suburb,Seksyen 14,Section 14,
Kuala Lumpur,node,248778961,101.533295,3.0327541,suburb,Seksyen 25,Section 25,
Kuala Lumpur,node,254074177,101.6710223,3.2018234,suburb,Batu,,
Kuala Lumpur,node,258867594,101.6724644,2.9628939,suburb,Presinct 11,,
Kuala Lumpur,node,264908203,101.7068594,3.1649491,suburb,Kampung Baru,,
Kuala Lumpur,node,271574427,101.7789426,2.969281,suburb,Seksyen 7,,
Kuala Lumpur,node,271574441,101.7801605,2.9581105,neighbourhood,Seksyen 4,,
Kuala Lumpur,node,271574451,101.7880989,2.9625424,neighbourhood,Seksyen 5,,
Kuala Lumpur,node,271574460,101.7796721,2.9387397,neighbourhood,Seksyen 3,,
Kuala Lumpur,node,271574467,101.7663087,2.9305223,suburb,Seksyen 15,,
Kuala Lumpur,node,271574475,101.7650126,2.9391879,suburb,Seksyen 16,,
Kuala Lumpur,node,271574522,101.7472616,2.9507905,suburb,Seksyen 12,,
Kuala Lumpur,node,271574599,101.7388847,2.9703603,neighbourhood,Seksyen 11,,
Kuala Lumpur,node,271724991,101.5278388,3.0083283,suburb,Kemuning Utama II,,
Kuala Lumpur,node,271726173,101.5546413,3.017484,neighbourhood,Taman Alam Indah,,
Kuala Lumpur,node,275075267,101.693314,3.2553978,suburb,Pinggiran Batu Caves,,
Kuala Lumpur,node,279589119,101.6706501,2.9951878,suburb,Putra Permai,,
Kuala Lumpur,node,279672990,101.4745607,3.1075749,suburb,Setia Eco Park,,
Kuala Lumpur,node,280434434,101.583764,3.0772698,suburb,SS17,,
Kuala Lumpur,node,299181872,101.5671402,3.0674158,suburb,Subang Hi-Tech,,
Kuala Lumpur,node,305806887,101.6422479,3.0738665,suburb,Taman Sri Manja,,
Kuala Lumpur,node,305807453,101.8559216,2.912515,neighbourhood,Fasa 7,,
Kuala Lumpur,node,308273064,101.4931612,3.0500461,suburb,Kampung Padang Jawa,,
Kuala Lumpur,node,322622997,101.5393788,3.0045413,suburb,Kota Kemuning,,
Kuala Lumpur,node,342827746,101.5591407,3.0052862,suburb,Seksyen 28,,
Kuala Lumpur,node,364775172,101.5948129,3.0774717,suburb,SS12,,
Kuala Lumpur,node,364775186,101.5828809,3.0688154,suburb,SS18,,
Kuala Lumpur,node,364775209,101.5964245,3.0685837,suburb,SS13,,
Kuala Lumpur,node,364775235,101.5858112,3.0426551,suburb,USJ9,,
Kuala Lumpur,node,364775249,101.5844731,3.037966,neighbourhood,USJ13,,
Kuala Lumpur,node,364775250,101.5799974,3.0332657,neighbourhood,USJ17,,
Kuala Lumpur,node,364775268,101.5878429,3.0542564,neighbourhood,USJ6,,
Kuala Lumpur,node,541234469,101.6888726,3.0476251,neighbourhood,Taman Teknologi Malaysia,Technology Park Malaysia,
Kuala Lumpur,node,848364544,101.488861,3.2316482,neighbourhood,desa coalfields,,
Kuala Lumpur,node,1118372134,101.5627563,3.2479305,neighbourhood,Saujana Akasia Sungai Buloh,,
Kuala Lumpur,node,1253986048,101.5908904,3.2048707,neighbourhood,Sierra Mas,,
Kuala Lumpur,node,1264589104,101.5947245,3.212979,suburb,Sri Aman Heights,,
Kuala Lumpur,node,1264589182,101.597201,3.2110142,neighbourhood,Taman Suria,,
Kuala Lumpur,node,1390609080,101.4568678,3.2499268,suburb,Alam Perdana,,
Kuala Lumpur,node,1475172920,101.6713399,2.9901497,suburb,Equine Park,,
Kuala Lumpur,node,1627864716,101.798713,3.0427682,suburb,Bandar Sungai Long,,
Kuala Lumpur,node,1707863135,101.7469821,3.0818259,suburb,Taman Cheras Hartamas,,
Kuala Lumpur,node,1996592457,101.7516215,3.057018,suburb,Taman Minang,,
Kuala Lumpur,node,1996594851,101.7536362,3.0597101,suburb,Taman Bahagia,,
Kuala Lumpur,node,1996595441,101.7519083,3.062672,suburb,Taman Bukit Angsana,,
Kuala Lumpur,node,1996604735,101.7489144,3.0562386,suburb,Taman Dahlia,,
Kuala Lumpur,node,1996604762,101.7470476,3.05656,suburb,Taman Delima,,
Kuala Lumpur,node,1998407344,101.7480605,3.0601812,suburb,Taman Bukit Anggerik,,
Kuala Lumpur,node,1998842576,101.753333,3.0654065,suburb,Taman Suria Jaya,,
Kuala Lumpur,node,1999655511,101.7521402,3.0679362,suburb,The Peak,,
Kuala Lumpur,node,1999669683,101.7582787,3.0617106,suburb,Taman Tun Perak,,
Kuala Lumpur,node,2043545606,101.562447,3.0164031,suburb,Sekysen 27,,
Kuala Lumpur,node,2043551089,101.5671247,2.9957464,suburb,Putra Heights,,
Kuala Lumpur,node,2137455078,101.7998148,3.0019273,neighbourhood,Taman Angkasa Indah,,
Kuala Lumpur,node,2194048438,101.6618456,3.0580038,neighbourhood,Ladang Bukit Jalil Village,,
Kuala Lumpur,node,2302193520,101.7435462,3.1506692,suburb,Kg Perwira Jaya,,
Kuala Lumpur,node,2373447566,101.6408051,3.2171782,suburb,Taman Usahawan,,
Kuala Lumpur,node,2373513811,101.6711677,3.2254692,suburb,Sri Utara Business Park,,
Kuala Lumpur,node,2373513828,101.6686786,3.2258762,suburb,Sri Utara KiPark,,
Kuala Lumpur,node,2373513832,101.6633571,3.2255548,suburb,Taman Nanyang,,
Kuala Lumpur,node,2373513836,101.6572202,3.2264761,suburb,Taman Aman Putra,,
Kuala Lumpur,node,2373513839,101.67076,3.2124435,neighbourhood,Taman Wahyu,,
Kuala Lumpur,node,2373513845,101.674322,3.2180137,suburb,Taman Tasik Indah,,
Kuala Lumpur,node,2373513849,101.6388739,3.197061,suburb,Kawasan Perusahaan Taman Bukit Maluri,,
Kuala Lumpur,node,2373513853,101.6498817,3.2083943,suburb,MWE Kepong Commercial Park,,
Kuala Lumpur,node,2373513857,101.6524566,3.2058877,suburb,Kawasan Perusahaan Kepong,,
Kuala Lumpur,node,2373523992,101.6637433,3.2354097,suburb,Taman Seri Murni,,
Kuala Lumpur,node,2373524000,101.6676272,3.2305251,suburb,Taman Batu View,,
Kuala Lumpur,node,2375047514,101.6534512,3.2426619,suburb,Taman Seri Melati,,
Kuala Lumpur,node,2375057743,101.6502755,3.2322072,suburb,Taman Intan Baiduri,,
Kuala Lumpur,node,2375057746,101.6433876,3.2362563,suburb,Taman Selayang Utama,,
Kuala Lumpur,node,2375057751,101.6506188,3.234221,suburb,Taman Selayang Bahagia,,
Kuala Lumpur,node,2375057755,101.6488378,3.2372846,suburb,Taman Selayang Jaya,,
Kuala Lumpur,node,2375704551,101.6361129,3.2230643,neighbourhood,Taman Daya,,
Kuala Lumpur,node,2375733453,101.6343319,3.228222,suburb,Taman FRIM Kepong,,
Kuala Lumpur,node,2375744881,101.6253197,3.2164068,neighbourhood,Taman Desa Jaya,,
Kuala Lumpur,node,2376691077,101.66147,3.2415454,suburb,Taman Desa Bakti,,
