"place","place_label","location"
"http://www.wikidata.org/entity/Q7456703","Setiawangsa","Point(101.746 3.18525)"
"http://www.wikidata.org/entity/Q7449123","Semarak","Point(101.721 3.17783)"
"http://www.wikidata.org/entity/Q4209706","Titiwangsa","Point(101.707 3.17788)"
"http://www.wikidata.org/entity/Q7403491","Salak South","Point(101.706 3.09003)"
"http://www.wikidata.org/entity/Q5211977","Damansara Town Centre","Point(101.662 3.14696)"
"http://www.wikidata.org/entity/Q4986913","Bukit Kiara","Point(101.641111111 3.134722222)"
"http://www.wikidata.org/entity/Q4209739","Bandar Sri Permaisuri","Point(101.70972222 3.10194444)"
"http://www.wikidata.org/entity/Q6903075","Mont Kiara","Point(101.653888888 3.170833333)"
"http://www.wikidata.org/entity/Q4986889","Bukit Damansara","Point(101.658591666 3.154358333)"
"http://www.wikidata.org/entity/Q2964626","Chow Kit","Point(101.697 3.16331)"
"http://www.wikidata.org/entity/Q7680666","Taman Tun Dr Ismail","Point(101.625 3.15056)"
"http://www.wikidata.org/entity/Q4854428","Bandar Tasik Selatan","Point(101.71 3.07201)"
"http://www.wikidata.org/entity/Q15235706","Kerling, Selangor","Point(101.6 3.58333333)"
"http://www.wikidata.org/entity/Q13640773","Kampung Kuantan","Point(101.68333333 3.46666667)"
"http://www.wikidata.org/entity/Q12699745","Paya Besar","Point(102.01666667 3.46666667)"
"http://www.wikidata.org/entity/Q7880756","Ulu Yam","Point(101.633333333 3.45)"
"http://www.wikidata.org/entity/Q7845152","Trolak","Point(101.383333333 3.883333333)"
"http://www.wikidata.org/entity/Q7680638","Taman Melawati","Point(101.749 3.22127)"
"http://www.wikidata.org/entity/Q7640139","Sungai Choh","Point(101.566666666 3.35)"
"http://www.wikidata.org/entity/Q7540603","Slim River","Point(101.4 3.83333333)"
"http://www.wikidata.org/entity/Q7540549","Slim, Perak","Point(101.48333333 3.85)"
"http://www.wikidata.org/entity/Q7294688","Rasa, Malaysia","Point(101.633333333 3.5)"
"http://www.wikidata.org/entity/Q6816998","Mengkarak","Point(102.41666667 3.33333333)"
"http://www.wikidata.org/entity/Q6704892","Lurah Bilut","Point(101.88333333 3.66666667)"
"http://www.wikidata.org/entity/Q6444290","Kundang","Point(101.517 3.28333)"
"http://www.wikidata.org/entity/Q6395330","Ketari","Point(101.91666667 3.5)"
"http://www.wikidata.org/entity/Q6368052","Karak, Pahang","Point(102.03333333 3.4)"
"http://www.wikidata.org/entity/Q6359531","Kampung Sungai Pusu","Point(101.75 3.25)"
"http://www.wikidata.org/entity/Q6359456","Kampung Kuala Slim","Point(101.36666667 3.8)"
"http://www.wikidata.org/entity/Q6354600","Kalumpang","Point(101.566666666 3.633333333)"
"http://www.wikidata.org/entity/Q5577601","Gohtong Jaya","Point(101.768 3.39737)"
"http://www.wikidata.org/entity/Q5092110","Cheroh","Point(101.81133611 3.91031111)"
"http://www.wikidata.org/entity/Q4986960","Bukit Sentosa","Point(101.589630555 3.404786111)"
"http://www.wikidata.org/entity/Q4868588","Batang Kali","Point(101.633333333 3.466666666)"
"http://www.wikidata.org/entity/Q4422913","Q4422913","Point(101.52 3.68)"
"http://www.wikidata.org/entity/Q4260052","Teriang","Point(102.417 3.23333)"
"http://www.wikidata.org/entity/Q3480605","Benta","Point(101.96666667 4.01666667)"
"http://www.wikidata.org/entity/Q2944710","Mentakab","Point(102.35 3.48)"
"http://www.wikidata.org/entity/Q2775696","Taman Greenwood","Point(101.704166666 3.233611111)"
"http://www.wikidata.org/entity/Q2578179","Bandar Baru Selayang","Point(101.65 3.27)"
"http://www.wikidata.org/entity/Q2499720","Kuang","Point(101.55 3.25)"
"http://www.wikidata.org/entity/Q2437966","Temerloh","Point(102.416666666 3.45)"
"http://www.wikidata.org/entity/Q2352205","Raub District","Point(101.856944444 3.793055555)"
"http://www.wikidata.org/entity/Q2232843","Serendah","Point(101.616666666 3.366666666)"
"http://www.wikidata.org/entity/Q2072124","Rawang, Selangor","Point(101.58 3.32)"
"http://www.wikidata.org/entity/Q687629","Batu Caves","Point(101.683905555 3.2374)"
"http://www.wikidata.org/entity/Q684062","Kuala Kubu Bharu","Point(101.65 3.57)"
"http://www.wikidata.org/entity/Q167426","Sungai Ruan","Point(101.867 3.78333)"
"http://www.wikidata.org/entity/Q14476218","Sungai Muntoh","Point(102.091 3.01684)"
"http://www.wikidata.org/entity/Q12709345","Simpang Pertang","Point(102.26666667 2.95)"
"http://www.wikidata.org/entity/Q12709327","Simpang Ampat, Malacca","Point(102.183333333 2.433333333)"
"http://www.wikidata.org/entity/Q12690409","Kota, Negeri Sembilan","Point(102.167 2.517)"
"http://www.wikidata.org/entity/Q8280759","Brickfields","Point(101.751 3.05778)"
"http://www.wikidata.org/entity/Q7967900","Wangsa Maju","Point(101.74 3.1995)"
"http://www.wikidata.org/entity/Q7880748","Ulu Klang","Point(101.768 3.1791)"
"http://www.wikidata.org/entity/Q7683416","Tanjung Ipoh","Point(102.2 2.75)"
"http://www.wikidata.org/entity/Q7680624","Taman Hillview","Point(101.761 3.18059)"
"http://www.wikidata.org/entity/Q7680614","Taman Asa Jaya","Point(101.817 2.98333)"
"http://www.wikidata.org/entity/Q7259917","Puncak Alam","Point(101.436272222 3.222125)"
"http://www.wikidata.org/entity/Q7162729","Pengkalan Kempas","Point(102.01666667 2.45)"
"http://www.wikidata.org/entity/Q7159011","Pedas","Point(102.06666667 2.61666667)"
"http://www.wikidata.org/entity/Q7130481","Pandan Indah","Point(101.75 3.13038)"
"http://www.wikidata.org/entity/Q6747612","Manchis","Point(102.16666667 3.2)"
"http://www.wikidata.org/entity/Q6553872","Linggi","Point(102.01666667 2.48333333)"
"http://www.wikidata.org/entity/Q6486154","Langkap","Point(102.15 2.85)"
"http://www.wikidata.org/entity/Q6440979","Kuala Klawang","Point(102.08333333 2.93333333)"
"http://www.wikidata.org/entity/Q6386860","Kemayan","Point(102.36666667 3.13333333)"
"http://www.wikidata.org/entity/Q6301645","Juasseh","Point(102.3 2.78333)"
"http://www.wikidata.org/entity/Q5091359","Chengkau","Point(102.13333333 2.55)"
"http://www.wikidata.org/entity/Q4986951","Bukit Rotan","Point(101.316666666 3.3)"
"http://www.wikidata.org/entity/Q4873315","Batu Kikir","Point(102.31666667 2.83333333)"
"http://www.wikidata.org/entity/Q4854433","Bandar Tun Hussein Onn","Point(101.7444028 3.0423862)"
"http://www.wikidata.org/entity/Q3132595","Seri Menanti","Point(102.16666667 2.7)"
"http://www.wikidata.org/entity/Q2998743","Bestari Jaya","Point(101.416666666 3.383333333)"
"http://www.wikidata.org/entity/Q2929940","Kuala Pilah","Point(102.25 2.73)"
"http://www.wikidata.org/entity/Q2643150","Kuala Sungai Baru","Point(102.033333333 2.35)"
"http://www.wikidata.org/entity/Q2571745","Sekinchan","Point(101.1 3.5)"
"http://www.wikidata.org/entity/Q2454787","Pulau Sebang","Point(102.233333333 2.466666666)"
"http://www.wikidata.org/entity/Q2366087","Balakong","Point(101.75 3.03)"
"http://www.wikidata.org/entity/Q2318761","Sungai Besar","Point(100.983333333 3.666666666)"
"http://www.wikidata.org/entity/Q2246812","Bahau","Point(102.4 2.81)"
"http://www.wikidata.org/entity/Q2219146","Tampin","Point(102.22 2.47)"
"http://www.wikidata.org/entity/Q2188635","Tanjung Karang","Point(101.18 3.42)"
"http://www.wikidata.org/entity/Q279392","Cheras, Selangor","Point(101.769 3.06611)"
"http://www.wikidata.org/entity/Q259097","Ampang","Point(101.76524 3.16528)"
