"City","type","id","lon","lat","place","name","name:en","wikidata"
Kyoto,node,3694478078,,,suburb,中主町,Chuzucho,
Kyoto,node,3694478079,,,suburb,野洲町,Yasucho,
Kyoto,node,3743063128,,,suburb,御徒士町武家屋敷群,Okachimachibukeyashikigun,
Kyoto,node,3743063129,,,suburb,河原町妻入商家群,Kawaramachitsumairishokagun,
Kyoto,node,3892681404,,,suburb,武佐,Musa,
Kyoto,node,3893941853,,,suburb,瀬田,Seta,
Kyoto,node,1915432638,,,neighbourhood,畑山田(Hatayamada),Hatayamada,
Kyoto,node,1926923664,,,neighbourhood,平尾(Hirao),Hirao,
Kyoto,node,1948756374,,,neighbourhood,御蔵山 (Okurayama),Okurayama,
Kyoto,node,1950492347,,,neighbourhood,札ノ辻町,Hudanotsujicho,
Kyoto,node,1950885066,,,neighbourhood,木幡 (Kowata),Kohata,
Kyoto,node,1952418009,,,neighbourhood,赤塚 (Akatsuka),Akatsuka,
Kyoto,node,1975281550,,,neighbourhood,柿ノ木町,Kakinokicho,
Kyoto,node,1975281556,,,neighbourhood,河原,Kawara,
Kyoto,node,1975958804,,,neighbourhood,北島,Kitajima,
Kyoto,node,1975958805,,,neighbourhood,徳永,Tokunaga,
Kyoto,node,1975958807,,,neighbourhood,紺屋町,Konyacho,
Kyoto,node,3091302984,,,neighbourhood,北内貴,KitaNaiki,
Kyoto,node,3215876061,,,neighbourhood,三栗一丁目,Meguri 1-Chome,
Kyoto,node,3215876062,,,neighbourhood,三栗二丁目,Meguri 2-Chome,
Kyoto,node,3215876066,,,neighbourhood,上野一丁目,Ueno 1-Chome,
Kyoto,node,3215876067,,,neighbourhood,上野三丁目,Ueno 3-Chome,
Kyoto,node,3215876068,,,neighbourhood,上野二丁目,Ueno 2-Chome,
Kyoto,node,3215876070,,,neighbourhood,中宮大池一丁目,Nakamiyaoike 1-Chome,
Kyoto,node,3215876071,,,neighbourhood,中宮大池三丁目,Nakamiyaoike 3-Chome,
Kyoto,node,3215876072,,,neighbourhood,中宮大池二丁目,Nakamiyaoike 2-Chome,
Kyoto,node,3215876073,,,neighbourhood,中宮大池四丁目,Nakamiyaoike 4-Chome,
Kyoto,node,3215876078,,,neighbourhood,交北一丁目,Kohoku 1-Chome,
Kyoto,node,3215876079,,,neighbourhood,交北三丁目,Kohoku 3-Chome,
Kyoto,node,3215876080,,,neighbourhood,交北二丁目,Kohoku 2-Chome,
Kyoto,node,3215876081,,,neighbourhood,交北四丁目,Kohoku 4-Chome,
Kyoto,node,3215876090,,,neighbourhood,出口一丁目,Deguchi 1-Chome,
Kyoto,node,3215876091,,,neighbourhood,出口三丁目,Deguchi 3-Chome,
Kyoto,node,3215876092,,,neighbourhood,出口二丁目,Deguchi 2-Chome,
Kyoto,node,3215876093,,,neighbourhood,出口五丁目,Deguchi 5-Chome,
Kyoto,node,3215876094,,,neighbourhood,出口六丁目,Deguchi 6-Chome,
Kyoto,node,3215876095,,,neighbourhood,出口四丁目,Deguchi 4-Chome,
Kyoto,node,3215876096,,,neighbourhood,出屋敷元町一丁目,Deyashikimotomachi 1-Chome,
Kyoto,node,3215876097,,,neighbourhood,出屋敷元町二丁目,Deyashikimotomachi 2-Chome,
Kyoto,node,3215876098,,,neighbourhood,出屋敷西町一丁目,Deyashikinishimachi 1-Chome,
Kyoto,node,3215876099,,,neighbourhood,出屋敷西町二丁目,Deyashikinishimachi 2-Chome,
Kyoto,node,3215876100,,,neighbourhood,北中振一丁目,Kitanakaburi 1-Chome,
Kyoto,node,3215876101,,,neighbourhood,北中振三丁目,Kitanakaburi 3-Chome,
Kyoto,node,3215876102,,,neighbourhood,北中振二丁目,Kitanakaburi 2-Chome,
Kyoto,node,3215876103,,,neighbourhood,北中振四丁目,Kitanakaburi 4-Chome,
Kyoto,node,3215876104,,,neighbourhood,北山一丁目,Kitayama 1-Chome,
Kyoto,node,3215876108,,,neighbourhood,南中振一丁目,Minaminakaburi 1-Chome,
Kyoto,node,3215876109,,,neighbourhood,南中振三丁目,Minaminakaburi 3-Chome,
Kyoto,node,3215876110,,,neighbourhood,南中振二丁目,Minaminakaburi 2-Chome,
Kyoto,node,3215876111,,,neighbourhood,南楠葉一丁目,Minamikuzuha 1-Chome,
Kyoto,node,3215876112,,,neighbourhood,南楠葉二丁目,Minamikuzuha 2-Chome,
Kyoto,node,3215876113,,,neighbourhood,南船橋一丁目,Minamihunahashi 1-Chome,
Kyoto,node,3215876114,,,neighbourhood,南船橋二丁目,Minamihunahashi 2-Chome,
Kyoto,node,3215876116,,,neighbourhood,堂山一丁目,Doyama 1-Chome,
Kyoto,node,3215876117,,,neighbourhood,堂山三丁目,Doyama 3-Chome,
Kyoto,node,3215876118,,,neighbourhood,堂山二丁目,Doyama 2-Chome,
Kyoto,node,3215876121,,,neighbourhood,大垣内町一丁目,Ogaitocho 1-Chome,
Kyoto,node,3215876122,,,neighbourhood,大垣内町三丁目,Ogaitocho 3-Chome,
Kyoto,node,3215876123,,,neighbourhood,大垣内町二丁目,Ogaitocho 2-Chome,
Kyoto,node,3215876128,,,neighbourhood,大峰元町一丁目,Ominemotomachi 1-Chome,
Kyoto,node,3215876129,,,neighbourhood,大峰元町二丁目,Ominemotomachi 2-Chome,
Kyoto,node,3215876130,,,neighbourhood,大峰北町一丁目,Ominekitamachi 1-Chome,
Kyoto,node,3215876131,,,neighbourhood,大峰北町二丁目,Ominekitamachi 2-Chome,
Kyoto,node,3215876137,,,neighbourhood,宗谷一丁目,Soya 1-Chome,
Kyoto,node,3215876138,,,neighbourhood,宗谷二丁目,Soya 2-Chome,
Kyoto,node,3215876140,,,neighbourhood,宮之阪一丁目,Miyanosaka 1-Chome,
Kyoto,node,3215876141,,,neighbourhood,宮之阪三丁目,Miyanosaka 3-Chome,
Kyoto,node,3215876142,,,neighbourhood,宮之阪二丁目,Miyanosaka 2-Chome,
Kyoto,node,3215876143,,,neighbourhood,宮之阪五丁目,Miyanosaka 5-Chome,
Kyoto,node,3215876144,,,neighbourhood,宮之阪四丁目,Miyanosaka 4-Chome,
Kyoto,node,3215876145,,,neighbourhood,尊延寺一丁目,Sonenji 1-Chome,
Kyoto,node,3215876146,,,neighbourhood,尊延寺三丁目,Sonenji 3-Chome,
Kyoto,node,3215876147,,,neighbourhood,尊延寺二丁目,Sonenji 2-Chome,
Kyoto,node,3215876148,,,neighbourhood,尊延寺五丁目,Sonenji 5-Chome,
Kyoto,node,3215876149,,,neighbourhood,尊延寺六丁目,Sonenji 6-Chome,
Kyoto,node,3215876150,,,neighbourhood,尊延寺四丁目,Sonenji 4-Chome,
Kyoto,node,3215876153,,,neighbourhood,山之上一丁目,Yamanoue 1-Chome,
Kyoto,node,3215876154,,,neighbourhood,山之上三丁目,Yamanoue 3-Chome,
Kyoto,node,3215876155,,,neighbourhood,山之上二丁目,Yamanoue 2-Chome,
