"City","type","id","lon","lat","place","name","name:en","wikidata"
London,node,196021,-0.1748844,51.6301762,suburb,Whetstone,,
London,node,196694,-0.1990538,51.5819126,suburb,Temple Fortune,,
London,node,200088,-0.158614,51.6128484,suburb,Friern Barnet,,
London,node,201212,-0.1420768,51.5910395,suburb,Muswell Hill,,
London,node,222466,-0.22162,51.5897442,suburb,Hendon,,
London,node,20962675,-0.2387441,51.4718962,suburb,Barnes,,
London,node,21042294,-0.1398817,51.4889993,suburb,Pimlico,,
London,node,21099165,-0.2919292,51.4806629,suburb,Kew,,
London,node,21099166,-0.3283389,51.4467941,suburb,Twickenham,Twickenham,
London,node,21262497,-0.0711328,51.4193664,suburb,Crystal Palace,,
London,node,21315205,-0.1665496,51.4234522,neighbourhood,Tooting Graveney,,
London,node,21329597,-0.1990563,51.4191783,suburb,South Wimbledon,South Wimbledon,
London,node,25921913,0.1004646,51.4261326,suburb,Sidcup,,
London,node,25921915,0.0685289,51.4362297,suburb,New Eltham,,
London,node,26269779,-0.586262,51.238464,suburb,Guildford Park,,
London,node,26472010,-0.0245145,51.4310809,suburb,Bellingham,,
London,node,26472011,-0.0054183,51.4502982,suburb,Hither Green,,
London,node,26472012,0.0064566,51.426111,suburb,Downham,,
London,node,26545978,-0.0906603,51.4901142,suburb,Walworth,,
London,node,26546003,-0.1003287,51.4952794,suburb,Elephant & Castle,,
London,node,26562607,-0.1567541,51.3796135,suburb,Hackbridge,,
London,node,26663137,-0.3101946,51.7455778,suburb,The Camp,,
London,node,26728131,0.301663,51.4777652,suburb,South Stifford,,
London,node,26745366,-0.1472083,51.5110777,suburb,Mayfair,,
London,node,26745371,-0.1219057,51.5160098,suburb,St Giles,,
London,node,27364398,-0.0756012,51.5834664,suburb,Seven Sisters,,
London,node,27364686,-0.0672892,51.5976955,suburb,Tottenham,,
London,node,27364687,-0.1238939,51.5759984,suburb,Crouch End,,
London,node,27365015,-0.0898489,51.5868063,suburb,West Green,,
London,node,27365016,-0.0690402,51.5707092,suburb,Stamford Hill,,
London,node,27365017,-0.0605697,51.5668384,suburb,Upper Clapton,,
London,node,27365018,-0.0772816,51.5576971,suburb,Stoke Newington,,
London,node,27365019,-0.0550912,51.5546565,suburb,Lower Clapton,,
London,node,27365020,-0.0999051,51.5384287,suburb,Islington,,
London,node,27365022,-0.1425625,51.5500658,suburb,Kentish Town,,
London,node,27365023,-0.1517524,51.5536863,suburb,Gospel Oak,,
London,node,27365024,-0.0561633,51.5303456,suburb,Bethnal Green,,
London,node,27365026,-0.0707674,51.532094,suburb,Haggerston,,
London,node,27365028,-0.0587291,51.5054363,suburb,Wapping,,
London,node,27365029,-0.0798926,51.5266694,suburb,Shoreditch,,
London,node,27365031,-0.1055555,51.5237268,suburb,Clerkenwell,,
London,node,27365033,-0.1260664,51.523126,suburb,Bloomsbury,,
London,node,27365035,-0.0697911,51.5017679,suburb,Bermondsey,,
London,node,27365036,-0.0201029,51.4939034,suburb,Millwall,,
London,node,27365037,-0.0427738,51.496791,suburb,Rotherhithe,,
London,node,27365038,-0.0462189,51.5174023,suburb,Stepney,,
London,node,27365039,-0.0351492,51.5133074,suburb,Limehouse,,
London,node,27365040,-0.009917,51.4925989,suburb,Cubitt Town,,
London,node,27365041,-0.0064024,51.5065004,suburb,Blackwall,,
London,node,27365042,-0.0183016,51.4974707,suburb,Isle of Dogs,,
London,node,27365043,-0.0143883,51.5111811,suburb,Poplar,,
London,node,27365044,-0.0172319,51.5266309,suburb,Bromley-by-Bow,,
London,node,27365045,-0.0194816,51.5283085,suburb,Bow,,
London,node,27365049,0.0064237,51.5710783,suburb,Leytonstone,,
London,node,27365051,-0.0659791,51.6203392,suburb,Edmonton,,
London,node,27365297,-0.1148807,51.5544402,suburb,Lower Holloway,,
London,node,27365298,-0.1338683,51.5644891,suburb,Upper Holloway,,
London,node,27365299,-0.1027127,51.5457996,suburb,Highbury,,
London,node,27365300,-0.114735,51.5389351,suburb,Barnsbury,,
London,node,27365303,0.0365359,51.4826053,suburb,Charlton,,
London,node,27365501,-0.2358661,51.5466216,suburb,Willesden,,
London,node,27365509,-0.3406636,51.5715948,suburb,Harrow on the Hill,,
London,node,27365512,-0.3294758,51.5936353,suburb,Wealdstone,,
London,node,27365513,-0.3216623,51.4863958,suburb,Brentford,,
London,node,27396436,-0.1831368,51.4955817,suburb,South Kensington,,
London,node,27396490,-0.166965,51.5008444,suburb,Knightsbridge,,
London,node,27467065,-0.1410017,51.5187642,suburb,Fitzrovia,,
London,node,27467066,-0.1504553,51.5220589,suburb,Marylebone,,
London,node,27467067,-0.1682205,51.4875417,suburb,Chelsea,,
London,node,27467184,-0.1792423,51.5163047,suburb,Paddington,,
London,node,27467185,-0.1905916,51.527592,suburb,Maida Vale,,
London,node,27481928,-0.0850011,51.539929,suburb,De Beauvoir Town,,
London,node,27481929,-0.0399629,51.5504686,suburb,Homerton,,
London,node,27485888,0.0769545,51.4115718,suburb,Chislehurst,,
London,node,27485890,0.1148486,51.4989335,suburb,Thamesmead,,
London,node,27485891,0.1138557,51.3954765,suburb,St Mary Cray,,
London,node,27485892,0.150488,51.4416793,suburb,Bexley,,
London,node,27485893,0.1823013,51.4775613,suburb,Erith,,
London,node,27486121,0.0134976,51.5181741,suburb,Canning Town,,
London,node,27486122,0.0077912,51.5343247,suburb,West Ham,,
London,node,27486150,0.1275378,51.5492654,suburb,Becontree,,
London,node,27529126,-0.099995,51.5810883,suburb,Harringay,,
London,node,27529290,-0.3263111,51.4683558,suburb,Isleworth,,
London,node,27534857,-0.3381584,51.5089838,suburb,Hanwell,,
London,node,27547447,0.4138362,51.6399396,suburb,Queens Park,,
London,node,27553615,0.0249097,51.5293798,suburb,Plaistow,,
London,node,27553702,-0.1116818,51.4824378,suburb,Kennington,,
London,node,27553707,-0.1229297,51.4874834,suburb,Vauxhall,,
London,node,27553712,-0.103458,51.5029222,suburb,Southwark,,
London,node,27553719,-0.117287,51.5013012,suburb,Lambeth,,
London,node,27553725,-0.1209153,51.4672726,suburb,Stockwell,,
London,node,27553734,-0.0925416,51.4745706,suburb,Camberwell,,
London,node,27553742,-0.0727322,51.4585551,suburb,East Dulwich,,
London,node,27553749,-0.0843244,51.4418786,suburb,Dulwich,,
London,node,27553768,-0.0539538,51.439108,suburb,Forest Hill,,
London,node,27554058,-0.0215164,51.4758453,suburb,Deptford,,
London,node,27554063,-0.044769,51.475072,suburb,New Cross Gate,,
London,node,27554266,-0.172214,51.4707933,suburb,Battersea,,
London,node,27729031,-0.123596,51.6281547,suburb,Southgate,,
London,node,27729624,-0.1209667,51.5873645,suburb,Hornsey,,
London,node,27729625,-0.1805587,51.5973246,suburb,Finchley,,
London,node,27731303,0.0395776,51.6051901,suburb,Woodford,,
London,node,27731566,0.0848694,51.588311,suburb,Barkingside,,
London,node,27731567,0.0922634,51.5758531,suburb,Newbury Park,,
London,node,27731568,0.0277989,51.5756739,suburb,Wanstead,,
London,node,27732675,0.1059038,51.46529,suburb,Welling,,
London,node,27732676,0.0924286,51.4804635,suburb,Plumstead,,
London,node,27732678,0.1140504,51.487621,suburb,Abbey Wood,,
London,node,28296776,-0.0534213,51.4146841,suburb,Penge,,
London,node,28825933,-0.0190782,51.7465723,suburb,Broxbourne,,
London,node,29402048,-0.1001002,51.4554407,suburb,Herne Hill,,
London,node,29402049,-0.1020591,51.4412109,suburb,Tulse Hill,,
London,node,29944851,-0.3521696,51.5538342,neighbourhood,Wood End,,
London,node,30738531,-0.3092987,51.4347641,suburb,Ham,,
London,node,30807392,0.3884929,51.5046853,suburb,The Bonners,,
London,node,31000778,-0.1610857,51.3657883,suburb,Carshalton,,
London,node,31922291,-0.1222891,51.4454502,suburb,Streatham Hill,,
London,node,33382361,0.064154,51.5004071,suburb,North Woolwich,,
London,node,33499702,-0.0972619,51.5647805,suburb,Brownswood Park,,
London,node,33758152,-0.1323928,51.3719875,suburb,Beddington,,
London,node,33758228,-0.1495621,51.357945,suburb,Wallington,,
London,node,46577755,0.3396093,51.6245702,suburb,Hutton Mount,,
London,node,55573229,-0.5879453,51.2547532,suburb,Stoughton,,
London,node,60465311,-0.1568827,51.3260695,neighbourhood,Clockhouse,,
London,node,64653632,-0.0523877,51.4267658,suburb,Sydenham,,
London,node,105539532,-0.0768216,51.3980951,suburb,South Norwood,,
London,node,106227330,-0.0148762,51.3759744,suburb,West Wickham,,
London,node,107364368,-0.5788071,51.2566215,suburb,Bellfields,,
London,node,123921330,-0.0303183,51.4070938,suburb,Beckenham,,
London,node,130823478,-0.0416048,51.3994675,suburb,Elmers End,,
London,node,133226366,-0.5685139,51.257909,suburb,Slyfield,,
London,node,138187664,-0.0466335,51.3749243,suburb,Shirley,,
London,node,183613836,0.2679097,51.5614882,suburb,Cranham,,
London,node,206144557,-0.3639269,51.4146463,neighbourhood,The Beveree,,
London,node,207141595,-0.0699321,51.4734122,suburb,Peckham,,
London,node,242917397,-0.2828604,51.3788758,neighbourhood,Tolworth,,
London,node,243814259,-0.086078,51.5323935,suburb,Hoxton,,
London,node,249335467,-0.1305736,51.3535628,neighbourhood,Roundshaw,,
London,node,249674698,-0.1640787,51.4058006,suburb,Mitcham,,
London,node,251136941,-0.590488,51.249293,suburb,Woodbridge Hill,,
London,node,253101009,-0.3463595,51.4647068,suburb,Worton,,
London,node,255756095,-0.1127378,51.6222544,suburb,Palmers Green,,
London,node,266798614,-0.2416023,51.3783998,suburb,Worcester Park,,
London,node,266799034,-0.2462611,51.3627372,suburb,Stoneleigh,,
London,node,267113333,-0.1712613,51.3563143,neighbourhood,Carshalton Beeches,,
London,node,267243756,-0.5819864,51.3061908,suburb,Hook Heath,,
London,node,281041529,-0.1374411,51.5313031,suburb,Somers Town,,
London,node,314729225,-0.385174,51.640054,suburb,Watford Heath,,
London,node,360873726,0.3194846,51.4416277,suburb,Ebbsfleet,,
London,node,362908707,0.0625225,51.550298,suburb,Little Ilford,,
