"place","place_label","location"
"http://www.wikidata.org/entity/Q2220704","East London","Point(0.093 51.553)"
"http://www.wikidata.org/entity/Q146837","Upton","Point(0.136119444 51.459)"
"http://www.wikidata.org/entity/Q5049958","Castle, Bedford","Point(-0.46287 52.1369)"
"http://www.wikidata.org/entity/Q7592452","St Ann's","Point(-0.0852 51.5813)"
"http://www.wikidata.org/entity/Q7926534","Victoria","Point(-0.051 51.539)"
"http://www.wikidata.org/entity/Q739700","East End of London","Point(-0.05 51.516666666)"
"http://www.wikidata.org/entity/Q124041","London Docklands","Point(-0.018055555 51.505)"
"http://www.wikidata.org/entity/Q1988417","Chinatown","Point(-0.131388888 51.511111111)"
"http://www.wikidata.org/entity/Q146436","Waterloo","Point(-0.112 51.5013)"
"http://www.wikidata.org/entity/Q1016629","Burlington Estate","Point(-0.141388888 51.510277777)"
"http://www.wikidata.org/entity/Q2010555","North Shoebury","Point(0.781669444 51.539888888)"
"http://www.wikidata.org/entity/Q1058698","Chadwell Heath","Point(0.144 51.5757)"
"http://www.wikidata.org/entity/Q15103231","Woodford","Point(0.02979 51.60475)"
"http://www.wikidata.org/entity/Q123296","Petts Wood","Point(0.076 51.3885)"
"http://www.wikidata.org/entity/Q5595670","Grange Park","Point(-0.103 51.6493)"
"http://www.wikidata.org/entity/Q4576305","Highams Park","Point(-0.0151 51.6059)"
"http://www.wikidata.org/entity/Q149680","Cockfosters","Point(-0.156 51.6527)"
"http://www.wikidata.org/entity/Q150212","East Barnet","Point(-0.1567 51.6348)"
"http://www.wikidata.org/entity/Q150209","North Finchley","Point(-0.17426 51.61712)"
"http://www.wikidata.org/entity/Q150195","Hampstead Garden Suburb","Point(-0.185 51.583)"
"http://www.wikidata.org/entity/Q1953777","Cowley","Point(-1.215 51.733)"
"http://www.wikidata.org/entity/Q1626233","Forest Hill","Point(-0.053 51.4457)"
"http://www.wikidata.org/entity/Q3307425","Broad Green","Point(-0.107 51.3866)"
"http://www.wikidata.org/entity/Q83726","Ealing","Point(-0.3058 51.5111)"
"http://www.wikidata.org/entity/Q766353","Hampton","Point(-0.3667 51.422)"
"http://www.wikidata.org/entity/Q2665449","Langley","Point(-0.5526 51.5059)"
"http://www.wikidata.org/entity/Q2286892","Upton, Slough","Point(-0.590861111 51.503611111)"
"http://www.wikidata.org/entity/Q12064022","Newtown, Reading","Point(-0.948 51.455)"
"http://www.wikidata.org/entity/Q122909","Crystal Palace","Point(-0.0705 51.4203)"
"http://www.wikidata.org/entity/Q7569549","Southend Urban Area","Point(0.67 51.5443)"
"http://www.wikidata.org/entity/Q6705860","Luton/Dunstable Urban Area","Point(-0.479 51.899)"
"http://www.wikidata.org/entity/Q6861276","Milton Keynes urban area","Point(-0.7345 52.0748)"
"http://www.wikidata.org/entity/Q2447222","Greater London Urban Area","Point(-0.1277 51.5073)"
"http://www.wikidata.org/entity/Q7300455","Reading/Wokingham Urban Area","Point(-0.9 51.44)"
"http://www.wikidata.org/entity/Q4713739","Aldershot Urban Area","Point(-0.75 51.24)"
"http://www.wikidata.org/entity/Q4095759","Brighton/Worthing/Littlehampton","Point(-0.335 50.824)"
"http://www.wikidata.org/entity/Q2022844","East Village, London","Point(-0.009656 51.5474)"
"http://www.wikidata.org/entity/Q204234","Milton Keynes","Point(-0.766666666 52.033333333)"
"http://www.wikidata.org/entity/Q2422792","London commuter belt","Point(-0.1277 51.5073)"
"http://www.wikidata.org/entity/Q350","Cambridge","Point(0.1225 52.208055555)"
"http://www.wikidata.org/entity/Q210985","Chelmsford","Point(0.4798 51.7361)"
"http://www.wikidata.org/entity/Q507517","Rochester","Point(0.489166666 51.402222222)"
"http://www.wikidata.org/entity/Q6226","St Albans","Point(-0.336 51.755)"
"http://www.wikidata.org/entity/Q23311","City of London","Point(-0.092222222 51.515833333)"
"http://www.wikidata.org/entity/Q1022488","Brighton and Hove","Point(-0.152777777 50.827777777)"
"http://www.wikidata.org/entity/Q262092","Haverhill","Point(0.44 52.08)"
