City,type,id,lon,lat,place,name,name:en,wikidata
Los Angeles,node,54308950,-116.2863072,33.7438202,suburb,Bermuda Dunes,,
Los Angeles,node,150933726,-118.2993022,33.9885113,neighbourhood,Wildasin,,
Los Angeles,node,150934179,-118.3195195,33.9825136,neighbourhood,Van Ness,,
Los Angeles,node,150934697,-118.2206283,34.020291,neighbourhood,Ninth Street Junction,,
Los Angeles,node,150935208,-117.2403183,32.7978268,suburb,Pacific Beach,,
Los Angeles,node,150935405,-118.4923066,34.4211072,neighbourhood,Honby,,
Los Angeles,node,150937945,-116.39358,33.8217125,suburb,Thousand Palms,,
Los Angeles,node,150939174,-118.3703581,34.251114,neighbourhood,Stonehurst,,
Los Angeles,node,150939819,-118.0036759,33.9536239,suburb,Friendly Hills,,
Los Angeles,node,150940512,-117.2997836,33.5663172,suburb,La Cresta,,
Los Angeles,node,150941695,-118.4675842,34.2572249,neighbourhood,Hickson,,
Los Angeles,node,150943720,-117.2742086,32.8472711,suburb,La Jolla,,
Los Angeles,node,150944258,-118.4731361,34.0663976,neighbourhood,Westgate Heights,,
Los Angeles,node,150944820,-118.4492491,34.2005602,neighbourhood,North Sherman Way,,
Los Angeles,node,150944951,-117.1194821,33.0728984,neighbourhood,Del Dios,,
Los Angeles,node,150946201,-118.4653611,34.2147263,neighbourhood,Raymer,,
Los Angeles,node,150946314,-118.3061834,33.8111279,neighbourhood,Ironsides,,
Los Angeles,node,150946619,-118.4375823,34.2091711,neighbourhood,Gemco,,
Los Angeles,node,150946964,-117.5664362,33.6316886,suburb,Dove Canyon,,
Los Angeles,node,150947607,-118.402216,34.1687712,neighbourhood,Garnsey,,
Los Angeles,node,150948901,-119.8845837,34.4369393,neighbourhood,El Encanto Heights,,
Los Angeles,node,150949469,-117.1550323,33.6791889,suburb,Menifee Lakes,,
Los Angeles,node,150951293,-118.2225734,34.0838993,neighbourhood,Dayton Avenue,,
Los Angeles,node,150951862,-118.3584121,34.1686172,neighbourhood,La Paco,,
Los Angeles,node,150952186,-118.3606643,34.0198711,suburb,The Village Green,,
Los Angeles,node,150952266,-118.3000727,33.8450163,neighbourhood,Dolanco Junction,,
