"place","place_label","location"
"http://www.wikidata.org/entity/Q7018086","Newhall","Point(-118.530555555 34.383888888)"
"http://www.wikidata.org/entity/Q5034183","Canyon Country","Point(-118.471388888 34.423333333)"
"http://www.wikidata.org/entity/Q1840217","Saugus","Point(-118.540555555 34.413888888)"
"http://www.wikidata.org/entity/Q1319893","Valencia","Point(-118.564722222 34.389444444)"
"http://www.wikidata.org/entity/Q5252989","Del Rosa","Point(-117.244 34.1467)"
"http://www.wikidata.org/entity/Q4796186","Arrowhead Springs","Point(-117.287 34.1478)"
"http://www.wikidata.org/entity/Q7641343","Sunset Ridge","Point(-117.386 34.4539)"
"http://www.wikidata.org/entity/Q4884871","Belvedere Heights","Point(-117.311 33.9836)"
"http://www.wikidata.org/entity/Q5047787","Casa Blanca","Point(-117.402 33.9331)"
"http://www.wikidata.org/entity/Q4792248","Arlington","Point(-117.446388888 33.920277777)"
"http://www.wikidata.org/entity/Q4792402","Arlington Station","Point(-117.441 33.9142)"
"http://www.wikidata.org/entity/Q4750886","Anaheim Hills","Point(-117.77639 33.84444)"
"http://www.wikidata.org/entity/Q6463232","La Jolla","Point(-117.876447222 33.857513888)"
"http://www.wikidata.org/entity/Q7984308","West Anaheim","Point(-117.943 33.8322)"
"http://www.wikidata.org/entity/Q5303348","Downtown Anaheim","Point(-117.915446 33.833914)"
"http://www.wikidata.org/entity/Q8032400","Woodbridge","Point(-117.801 33.6771)"
"http://www.wikidata.org/entity/Q7894756","University Hills, Irvine, California","Point(-117.84 33.64)"
"http://www.wikidata.org/entity/Q7856451","Turtle Rock","Point(-117.811 33.64)"
"http://www.wikidata.org/entity/Q7268491","Quail Hill","Point(-117.774811111 33.650402777)"
"http://www.wikidata.org/entity/Q7060452","Northwood","Point(-117.757 33.7126)"
"http://www.wikidata.org/entity/Q7202381","Platinum Triangle","Point(-117.889266666 33.803505555)"
"http://www.wikidata.org/entity/Q4750892","Anaheim Resort","Point(-117.914886 33.788778)"
"http://www.wikidata.org/entity/Q6551664","Linda Isle","Point(-117.903 33.614)"
"http://www.wikidata.org/entity/Q5654665","Harbor Ridge","Point(-117.846 33.6158)"
"http://www.wikidata.org/entity/Q5147385","Collins Island","Point(-117.9 33.6086)"
"http://www.wikidata.org/entity/Q4882089","Belcourt","Point(-117.865 33.6369)"
"http://www.wikidata.org/entity/Q3474938","Santa Ana Heights","Point(-117.895 33.6525)"
"http://www.wikidata.org/entity/Q14683192","Los Rios","Point(-117.664 33.5017)"
"http://www.wikidata.org/entity/Q7679143","Talega","Point(-117.589 33.464)"
"http://www.wikidata.org/entity/Q3503914","Sunland-Tujunga","Point(-118.287 34.2522)"
"http://www.wikidata.org/entity/Q947273","Corona del Mar","Point(-117.878944444 33.588633333)"
"http://www.wikidata.org/entity/Q7460524","Shadow Hills","Point(-118.351 34.2619)"
"http://www.wikidata.org/entity/Q6478300","Lake View Terrace","Point(-118.36028 34.27639)"
"http://www.wikidata.org/entity/Q16898725","Poppy Peak Historic District","Point(-118.181 34.1322)"
"http://www.wikidata.org/entity/Q4680403","Adams Square","Point(-118.241111111 34.133611111)"
"http://www.wikidata.org/entity/Q4120016","Eagle Rock","Point(-118.21306 34.13889)"
"http://www.wikidata.org/entity/Q14684044","Sun Valley","Point(-118.369 34.2175)"
"http://www.wikidata.org/entity/Q7043919","NoHo Arts District","Point(-118.378 34.1722)"
"http://www.wikidata.org/entity/Q5579890","Mount Washington","Point(-118.216111111 34.100555555)"
"http://www.wikidata.org/entity/Q5368572","Elysian Valley","Point(-118.240366 34.09445)"
"http://www.wikidata.org/entity/Q4842231","Hermon","Point(-118.185077 34.103906)"
