City,type,id,lon,lat,place,name,name:en,wikidata
New York City,node,158798651,-74.1143087,40.5526053,neighbourhood,Oakwood Beach,,
New York City,node,158798812,-73.7354097,40.6620479,neighbourhood,Rosedale,,
New York City,node,158799290,-73.9348597,40.6212155,neighbourhood,Flatlands,,
New York City,node,158801321,-74.0093063,40.7153802,neighbourhood,Tribeca,,
New York City,node,158801775,-73.8651358,40.7612123,neighbourhood,East Elmhurst,,
New York City,node,158804278,-74.0668076,40.5903825,neighbourhood,South Beach,,
New York City,node,158804534,-74.0900718,40.6417264,neighbourhood,Hamilton Park,,
New York City,node,158805148,-73.993889,40.7652778,neighbourhood,Clinton,,
New York City,node,158805374,-73.919859,40.8498223,neighbourhood,Morris Heights,,
New York City,node,158805801,-74.0929195,40.6423258,neighbourhood,New Brighton,,
New York City,node,158805869,-73.9065253,40.8292672,neighbourhood,Morrisania,,
New York City,node,158807229,-73.8604128,40.8389893,neighbourhood,Parkchester,,
New York City,node,158807290,-74.1945884,40.5373275,neighbourhood,Huguenot,,
New York City,node,158807303,-73.7847222,40.685,neighbourhood,Cedar Manor Houses,,
New York City,node,158808479,-74.1159754,40.563994,neighbourhood,Oakwood,,
New York City,node,158808490,-73.8912474,40.6770477,neighbourhood,Cypress Hills,,
New York City,node,158808525,-74.1515318,40.5542718,neighbourhood,Great Kills,,
New York City,node,158808529,-73.7422222,40.5955556,neighbourhood,Roy Reuther Houses,,
New York City,node,158808613,-73.9068033,40.6203822,neighbourhood,Bergen Beach,,
New York City,node,158809480,-74.2293113,40.5201055,neighbourhood,Richmond Valley,,
New York City,node,158809488,-73.8637463,40.8484336,neighbourhood,Van Nest,,
New York City,node,158809643,-74.0776361,40.6264774,neighbourhood,Stapleton,,
New York City,node,158809984,-73.9987505,40.72288,neighbourhood,SoHo,,
New York City,node,158810168,-73.8601456,40.7469593,neighbourhood,Corona,,
New York City,node,158810593,-74.1487544,40.6314925,neighbourhood,Elm Park,,
New York City,node,158810843,-74.094586,40.5731606,neighbourhood,Midland Beach,,
New York City,node,158810851,-74.087086,40.6042711,neighbourhood,Grasmere,,
New York City,node,158810928,-73.8915251,40.7040104,neighbourhood,Fresh Pond Junction,,
New York City,node,158811206,-74.3001867,41.0035899,neighbourhood,Pompton Junction,,
New York City,node,158811354,-73.8195784,40.8226008,neighbourhood,Throgs Neck,,
New York City,node,158811504,-73.9181926,40.6314931,neighbourhood,Paerdegat,,
New York City,node,158811506,-73.7865221,40.7273247,neighbourhood,Utopia,,
New York City,node,158811842,-74.2493117,40.5112167,neighbourhood,Tottenville,,
New York City,node,158812343,-73.8272222,40.8288889,neighbourhood,Schuylerville,,
New York City,node,158812711,-73.8211111,40.8452778,neighbourhood,Spencer Estates,,
New York City,node,158813235,-74.0912527,40.5923268,neighbourhood,Linden-Park,,
New York City,node,158813304,-73.8501349,40.8273229,neighbourhood,Unionport,,
New York City,node,158813854,-73.8788889,40.8427778,neighbourhood,Lambert Houses,,
New York City,node,158813973,-74.1304203,40.5739937,neighbourhood,Richmond,,
New York City,node,158814599,-74.1656988,40.5453831,neighbourhood,Eltingville,,
New York City,node,158814619,-73.850947,40.7107396,neighbourhood,Parkside,,
New York City,node,158814773,-74.0959751,40.6087154,neighbourhood,Emerson Hill,,
New York City,node,158814808,-73.8869623,40.6762251,neighbourhood,City Line,,
New York City,node,158815147,-73.9725,40.5775,neighbourhood,West Brighton,,
New York City,node,158816079,-74.1037531,40.6162152,neighbourhood,Sunnyside,,
New York City,node,158816547,-73.9770832,40.7395463,neighbourhood,Kips Bay,,
New York City,node,158816594,-73.9959725,40.6131601,neighbourhood,New Utrecht,,
New York City,node,158817196,-74.4009849,40.6953793,neighbourhood,Murray Hill,,
New York City,node,158817466,-74.2128982,40.5556238,neighbourhood,Rossville,,
New York City,node,158817884,-73.765966,40.753991,neighbourhood,Oakland Gardens,,
New York City,node,158819122,-74.1365318,40.6331592,neighbourhood,Port Richmond,,
New York City,node,158820391,-74.1029195,40.5653829,neighbourhood,New Dorp Beach,,
New York City,node,158821893,-73.9377798,40.7347214,neighbourhood,Blissville,,
New York City,node,158821983,-74.1698852,40.5612236,neighbourhood,Greenridge,,
New York City,node,158822210,-73.8523569,40.8978772,neighbourhood,Wakefield,,
New York City,node,158822897,-74.197644,40.5289944,neighbourhood,Princes Bay,,
New York City,node,158823233,-73.8333333,40.8505556,neighbourhood,Pelham Bay,,
New York City,node,158823417,-73.9837517,40.7426064,neighbourhood,Rose Hill,,
New York City,node,158824690,-74.1166667,40.6394444,neighbourhood,Edwin Markham Gardens,,
New York City,node,158826083,-73.9758953,40.6869865,neighbourhood,Fort Greene,,
New York City,node,158826478,-73.7606881,40.6984364,neighbourhood,Saint Albans,,
New York City,node,158826707,-73.7865218,40.8473226,neighbourhood,City Island,,
New York City,node,158827451,-73.9001366,40.67677,neighbourhood,Broadway Junction,,
New York City,node,158827454,-73.909303,40.8601,neighbourhood,University Heights,,
New York City,node,158835244,-73.8281895,40.8884329,neighbourhood,Eastchester,,
New York City,node,158835606,-74.1159755,40.5739938,neighbourhood,New Dorp,,
New York City,node,158837052,-74.0934751,40.6187152,neighbourhood,Grymes Hill,,
New York City,node,158837567,-73.7692994,40.7214916,neighbourhood,Terrace Heights,,
