"place","place_label","location"
"http://www.wikidata.org/entity/Q5430250","Fairfield Beach","Point(-73.2573 41.1218)"
"http://www.wikidata.org/entity/Q4956455","Branchville","Point(-73.4417 41.2675)"
"http://www.wikidata.org/entity/Q5604420","Greens Farms","Point(-73.3192 41.1239)"
"http://www.wikidata.org/entity/Q5329059","East Norwalk","Point(-73.404 41.103)"
"http://www.wikidata.org/entity/Q5181962","Cranbury","Point(-73.395 41.1472)"
"http://www.wikidata.org/entity/Q5061527","Central Norwalk","Point(-73.4123 41.1184)"
"http://www.wikidata.org/entity/Q7986091","West Norwalk","Point(-73.463 41.11)"
"http://www.wikidata.org/entity/Q7580839","Springdale","Point(-73.5242 41.0878)"
"http://www.wikidata.org/entity/Q7580573","Spring Hill","Point(-73.4255 41.1165)"
"http://www.wikidata.org/entity/Q7568037","South Norwalk","Point(-73.418611111 41.093611111)"
"http://www.wikidata.org/entity/Q7056821","North Stamford","Point(-73.544 41.138)"
"http://www.wikidata.org/entity/Q7371835","Rowayton","Point(-73.436388888 41.063888888)"
"http://www.wikidata.org/entity/Q7986534","West Side of Stamford","Point(-73.5261 41.0647)"
"http://www.wikidata.org/entity/Q7498048","Shippan","Point(-73.5244 41.0487)"
"http://www.wikidata.org/entity/Q5568191","Glenbrook","Point(-73.5261 41.0647)"
"http://www.wikidata.org/entity/Q5329397","East Side of Stamford","Point(-73.5213 41.0561)"
"http://www.wikidata.org/entity/Q5178948","Cove section of Stamford","Point(-73.509 41.0489)"
"http://www.wikidata.org/entity/Q7006574","New City Condominiums, New City, New York","Point(-73.9856 41.1594)"
"http://www.wikidata.org/entity/Q8039842","Wykagyl","Point(-73.7989 40.9414)"
"http://www.wikidata.org/entity/Q19877393","Premium Point","Point(-73.7592 40.9108)"
"http://www.wikidata.org/entity/Q19866434","Beechmont","Point(-73.7842 40.9286)"
"http://www.wikidata.org/entity/Q18157159","Sutton Manor","Point(-73.772 40.911)"
"http://www.wikidata.org/entity/Q18156896","Residence Park","Point(-73.783 40.901)"
"http://www.wikidata.org/entity/Q7353895","Rochelle Park-Rochelle Heights Historic District","Point(-73.780556 40.924722)"
"http://www.wikidata.org/entity/Q1421611","Throggs Neck","Point(-73.795091666 40.806094444)"
"http://www.wikidata.org/entity/Q5184660","Crestwood","Point(-73.824166666 40.96)"
"http://www.wikidata.org/entity/Q4793788","Armour villa","Point(-73.8317 40.9494)"
"http://www.wikidata.org/entity/Q16975110","Getty Square","Point(-73.89795 40.93377)"
"http://www.wikidata.org/entity/Q3569613","Riverdale","Point(-73.9087 40.8941)"
"http://www.wikidata.org/entity/Q7161361","Pelham Parkway","Point(-73.8564 40.8575)"
"http://www.wikidata.org/entity/Q5445499","Ferry Point Park","Point(-73.833 40.813)"
"http://www.wikidata.org/entity/Q5177226","Country Club","Point(-73.8213 40.843)"
"http://www.wikidata.org/entity/Q15223005","Harding Park","Point(-73.8563889 40.8094444)"
"http://www.wikidata.org/entity/Q5945764","Hunts Point","Point(-73.884 40.8126)"
"http://www.wikidata.org/entity/Q5329558","East Tremont","Point(-73.8917 40.8458)"
"http://www.wikidata.org/entity/Q3551341","University Heights, Bronx","Point(-73.9093 40.8601)"
"http://www.wikidata.org/entity/Q5757835","Highbridge","Point(-73.9291667 40.8372222)"
"http://www.wikidata.org/entity/Q1370292","Washington Heights","Point(-73.9375 40.841666666)"
"http://www.wikidata.org/entity/Q1189533","Inwood","Point(-73.921508333 40.867444444)"
"http://www.wikidata.org/entity/Q7740771","The Hub","Point(-73.9175 40.8161)"
"http://www.wikidata.org/entity/Q1857393","Sugar Hill","Point(-73.943333 40.827222)"
"http://www.wikidata.org/entity/Q1455265","Hamilton Heights","Point(-73.949 40.825)"
"http://www.wikidata.org/entity/Q189074","Harlem","Point(-73.948372222 40.809033333)"
"http://www.wikidata.org/entity/Q7460960","Shadyside","Point(-73.9799 40.8206)"
"http://www.wikidata.org/entity/Q1857997","Manhattanville","Point(-73.956111111 40.816111111)"
"http://www.wikidata.org/entity/Q748485","Morningside Heights","Point(-73.9566 40.8102)"
"http://www.wikidata.org/entity/Q14706778","Le Petit Senegal","Point(-73.9542 40.804)"
"http://www.wikidata.org/entity/Q7279030","Racetrack Section","Point(-74.007 40.806)"
"http://www.wikidata.org/entity/Q7069833","Nungessers","Point(-74.0012 40.8097)"
"http://www.wikidata.org/entity/Q4891597","Bergenwood","Point(-74.0063 40.8097)"
"http://www.wikidata.org/entity/Q8038336","Wrigley Park","Point(-74.159 40.924)"
"http://www.wikidata.org/entity/Q7828416","Totowa section","Point(-74.2099 40.9051)"
"http://www.wikidata.org/entity/Q7619423","Stoney Road","Point(-74.1925 40.9013)"
"http://www.wikidata.org/entity/Q7568190","South Paterson","Point(-74.165 40.889)"
"http://www.wikidata.org/entity/Q7417285","Sandy Hill","Point(-74.1627 40.9123)"
"http://www.wikidata.org/entity/Q7165650","People's Park","Point(-74.1525 40.904)"
"http://www.wikidata.org/entity/Q7084136","Old Great Falls Historic District","Point(-74.178 40.914)"
"http://www.wikidata.org/entity/Q7059722","Northside","Point(-74.1686 40.9322)"
"http://www.wikidata.org/entity/Q6650693","Little Lima","Point(-74.1762 40.9136)"
"http://www.wikidata.org/entity/Q6650476","Little Italy","Point(-74.1749 40.9158)"
"http://www.wikidata.org/entity/Q6479217","Lakeview","Point(-74.1356 40.8856)"
"http://www.wikidata.org/entity/Q5762733","Hillcrest","Point(-74.189 40.92)"
"http://www.wikidata.org/entity/Q5310800","Dublin","Point(-74.1731 40.9126)"
"http://www.wikidata.org/entity/Q5330920","Eastside","Point(-74.143 40.9181)"
"http://www.wikidata.org/entity/Q6651117","Little Neck","Point(-73.738216666 40.761983333)"
