"place","place_label","location"
"http://www.wikidata.org/entity/Q857225","Moriyama","Point(135.994444444 35.058888888)"
"http://www.wikidata.org/entity/Q847584","Kōka","Point(136.166666666 34.966666666)"
"http://www.wikidata.org/entity/Q611642","Yasu","Point(136.025833333 35.0675)"
"http://www.wikidata.org/entity/Q385461","Ōmihachiman","Point(136.098055555 35.128333333)"
"http://www.wikidata.org/entity/Q240891","Higashiōmi","Point(136.207777777 35.112777777)"
"http://www.wikidata.org/entity/Q857310","Rittō","Point(135.998055555 35.021666666)"
"http://www.wikidata.org/entity/Q857194","Konan","Point(136.085 35.004166666)"
"http://www.wikidata.org/entity/Q386677","Kusatsu, Shiga","Point(135.966666666 35.016666666)"
"http://www.wikidata.org/entity/Q861246","Nagaokakyō","Point(135.695555555 34.926666666)"
"http://www.wikidata.org/entity/Q850640","Mukō","Point(135.698333333 34.948611111)"
"http://www.wikidata.org/entity/Q633996","Kameoka","Point(135.5725 35.013333333)"
"http://www.wikidata.org/entity/Q170421","Nantan","Point(135.47 35.107222222)"
"http://www.wikidata.org/entity/Q502196","Tenri","Point(135.8375 34.596666666)"
"http://www.wikidata.org/entity/Q460820","Iga","Point(136.13 34.768611111)"
"http://www.wikidata.org/entity/Q166183","Nabari","Point(136.1 34.633333333)"
"http://www.wikidata.org/entity/Q863747","Uda","Point(135.9525 34.527777777)"
"http://www.wikidata.org/entity/Q127026","Sakurai","Point(135.851944444 34.518888888)"
"http://www.wikidata.org/entity/Q816728","Kyōtanabe","Point(135.767777777 34.814444444)"
"http://www.wikidata.org/entity/Q817276","Jōyō","Point(135.78 34.853055555)"
"http://www.wikidata.org/entity/Q326956","Uji","Point(135.779444444 34.880833333)"
"http://www.wikidata.org/entity/Q260923","Yawata","Point(135.707777777 34.875555555)"
"http://www.wikidata.org/entity/Q819646","Katano","Point(135.68 34.788055555)"
"http://www.wikidata.org/entity/Q990352","Kizugawa","Point(135.820833333 34.736944444)"
"http://www.wikidata.org/entity/Q643878","Settsu","Point(135.562222222 34.777222222)"
"http://www.wikidata.org/entity/Q328610","Ikoma","Point(135.700555555 34.691944444)"
"http://www.wikidata.org/entity/Q118213","Yamatokōriyama","Point(135.782777777 34.649444444)"
"http://www.wikidata.org/entity/Q742160","Shijōnawate","Point(135.639444444 34.74)"
"http://www.wikidata.org/entity/Q694154","Moriguchi","Point(135.564166666 34.7375)"
