"place","place_label","location"
"http://www.wikidata.org/entity/Q3268954","Lycée Suger","Point(2.36631 48.9292)"
"http://www.wikidata.org/entity/Q3368796","Q3368796","Point(2.28345 48.9276)"
"http://www.wikidata.org/entity/Q2935428","Q2935428","Point(2.40756 48.8658)"
"http://www.wikidata.org/entity/Q815949","Belleville","Point(2.385277777 48.873888888)"
"http://www.wikidata.org/entity/Q2701404","Ménilmontant","Point(2.3837 48.8661)"
"http://www.wikidata.org/entity/Q3478676","Q3478676","Point(2.37696 48.8579)"
"http://www.wikidata.org/entity/Q3478781","Q3478781","Point(2.3498 48.8719)"
"http://www.wikidata.org/entity/Q749573","Le Marais","Point(2.361452777 48.8576)"
"http://www.wikidata.org/entity/Q3413181","Q3413181","Point(2.35286 48.8621)"
"http://www.wikidata.org/entity/Q3392366","Pletzl","Point(2.359664 48.857011)"
"http://www.wikidata.org/entity/Q576507","Quartier Pigalle","Point(2.337361111 48.882277777)"
"http://www.wikidata.org/entity/Q3478657","Sentier","Point(2.347791 48.865893)"
"http://www.wikidata.org/entity/Q3322870","Montorgueil","Point(2.346796 48.864771)"
"http://www.wikidata.org/entity/Q3268882","Lycée Paul Lapie","Point(2.25638 48.9005)"
"http://www.wikidata.org/entity/Q3208449","Q3208449","Point(2.24306 48.8933)"
"http://www.wikidata.org/entity/Q3208448","Q3208448","Point(2.24778 48.8925)"
"http://www.wikidata.org/entity/Q3208447","La Défense 4","Point(2.24417 48.8911)"
"http://www.wikidata.org/entity/Q3208446","La Défense 2","Point(2.2475 48.89)"
"http://www.wikidata.org/entity/Q3208445","Q3208445","Point(2.25028 48.8908)"
"http://www.wikidata.org/entity/Q3208442","La Défense 1","Point(2.25306 48.8894)"
"http://www.wikidata.org/entity/Q3208450","Q3208450","Point(2.23417 48.8889)"
"http://www.wikidata.org/entity/Q3208444","Q3208444","Point(2.2361 48.8944)"
"http://www.wikidata.org/entity/Q3067316","Q3067316","Point(2.23807 48.8961)"
"http://www.wikidata.org/entity/Q3208443","Q3208443","Point(2.25083 48.8867)"
"http://www.wikidata.org/entity/Q3208452","Q3208452","Point(2.24306 48.8881)"
"http://www.wikidata.org/entity/Q3208451","Q3208451","Point(2.2389 48.8881)"
"http://www.wikidata.org/entity/Q3208441","Q3208441","Point(2.24694 48.8875)"
"http://www.wikidata.org/entity/Q22922526","Q22922526","Point(2.703286 48.403904)"
"http://www.wikidata.org/entity/Q22922525","Q22922525","Point(2.699182 48.39776)"
"http://www.wikidata.org/entity/Q3268858","Q3268858","Point(2.47123 48.8382)"
"http://www.wikidata.org/entity/Q3268562","Q3268562","Point(2.47114 48.8365)"
"http://www.wikidata.org/entity/Q3321607","Mont-Mesly","Point(2.4671 48.7757)"
"http://www.wikidata.org/entity/Q2927254","Brèche - Préfecture","Point(2.454456 48.783788)"
"http://www.wikidata.org/entity/Q3368772","Q3368772","Point(2.37853 48.8386)"
"http://www.wikidata.org/entity/Q20723084","Q20723084","Point(2.350577 48.853138)"
"http://www.wikidata.org/entity/Q321621","Latin Quarter","Point(2.343166666 48.851416666)"
"http://www.wikidata.org/entity/Q1867640","Q1867640","Point(2.3 48.85)"
"http://www.wikidata.org/entity/Q3391915","Q3391915","Point(2.2925 48.825)"
"http://www.wikidata.org/entity/Q16509683","Q16509683","Point(2.15107 48.8065)"
"http://www.wikidata.org/entity/Q3398136","Porchefontaine","Point(2.15583333 48.79527778)"
"http://www.wikidata.org/entity/Q3126289","Ham","Point(2.05833333 49.02666667)"
"http://www.wikidata.org/entity/Q22923866","Q22923866","Point(2.09718 48.89545)"
"http://www.wikidata.org/entity/Q22924043","Q22924043","Point(2.12777 48.798776)"
"http://www.wikidata.org/entity/Q22924042","Q22924042","Point(2.132286 48.797398)"
"http://www.wikidata.org/entity/Q22923952","Q22923952","Point(2.134102 48.801657)"
"http://www.wikidata.org/entity/Q22924041","Q22924041","Point(2.128885 48.796334)"
"http://www.wikidata.org/entity/Q16511269","Q16511269","Point(2.12417 48.7983)"
"http://www.wikidata.org/entity/Q22966140","Q22966140","Point(2.4907 49.3581)"
"http://www.wikidata.org/entity/Q22966098","Q22966098","Point(2.242815 49.384231)"
"http://www.wikidata.org/entity/Q1098591","Berthecourt","Point(2.224722222 49.350555555)"
"http://www.wikidata.org/entity/Q1095678","Cauvigny","Point(2.248611111 49.300833333)"
"http://www.wikidata.org/entity/Q1095532","Crouy-en-Thelle","Point(2.322222222 49.215277777)"
"http://www.wikidata.org/entity/Q946691","Blaincourt-lès-Précy","Point(2.356388888 49.222777777)"
"http://www.wikidata.org/entity/Q941423","Hermes","Point(2.246111111 49.3575)"
"http://www.wikidata.org/entity/Q920523","Cramoisy","Point(2.401388888 49.255277777)"
"http://www.wikidata.org/entity/Q900943","Nointel","Point(2.290833333 49.127777777)"
"http://www.wikidata.org/entity/Q834102","Noailles","Point(2.2 49.327777777)"
"http://www.wikidata.org/entity/Q815706","Mouchy-le-Châtel","Point(2.250277777 49.326111111)"
"http://www.wikidata.org/entity/Q774798","Neuilly-en-Thelle","Point(2.285277777 49.223611111)"
"http://www.wikidata.org/entity/Q750669","Ully-Saint-Georges","Point(2.280277777 49.277777777)"
"http://www.wikidata.org/entity/Q691206","Bernes-sur-Oise","Point(2.300555555 49.161111111)"
"http://www.wikidata.org/entity/Q675687","Boran-sur-Oise","Point(2.358888888 49.166111111)"
"http://www.wikidata.org/entity/Q588859","Dieudonné","Point(2.247777777 49.230555555)"
"http://www.wikidata.org/entity/Q378172","Heilles","Point(2.261944444 49.334166666)"
"http://www.wikidata.org/entity/Q302444","Laboissière-en-Thelle","Point(2.158333333 49.289722222)"
"http://www.wikidata.org/entity/Q243212","Beaumont-sur-Oise","Point(2.286388888 49.1425)"
"http://www.wikidata.org/entity/Q1625104","Saint-Witz","Point(2.568333333 49.091666666)"
"http://www.wikidata.org/entity/Q1624089","Survilliers","Point(2.545 49.097777777)"
"http://www.wikidata.org/entity/Q1464100","Frouville","Point(2.149722222 49.149166666)"
"http://www.wikidata.org/entity/Q1460662","Longperrier","Point(2.664444444 49.050833333)"
"http://www.wikidata.org/entity/Q1459593","Othis","Point(2.676388888 49.076388888)"
"http://www.wikidata.org/entity/Q1457788","Épiais-lès-Louvres","Point(2.5575 49.031388888)"
"http://www.wikidata.org/entity/Q1457775","Mours","Point(2.27 49.133611111)"
"http://www.wikidata.org/entity/Q1411562","Chennevières-lès-Louvres","Point(2.550833333 49.044722222)"
"http://www.wikidata.org/entity/Q1361268","Mortefontaine","Point(2.599444444 49.1125)"
"http://www.wikidata.org/entity/Q1337799","Plailly","Point(2.583611111 49.103333333)"
"http://www.wikidata.org/entity/Q1336206","Puiseux-le-Hauberger","Point(2.236944444 49.215833333)"
"http://www.wikidata.org/entity/Q1103978","Belle-Église","Point(2.218888888 49.1925)"
"http://www.wikidata.org/entity/Q1095359","Fosseuse","Point(2.185833333 49.213333333)"
"http://www.wikidata.org/entity/Q964185","Champagne-sur-Oise","Point(2.235555555 49.135833333)"
"http://www.wikidata.org/entity/Q961299","Bornel","Point(2.209166666 49.198333333)"
"http://www.wikidata.org/entity/Q923191","Persan","Point(2.271111111 49.153333333)"
"http://www.wikidata.org/entity/Q900627","Hédouville","Point(2.17 49.153611111)"
"http://www.wikidata.org/entity/Q900249","Moussy-le-Neuf","Point(2.603055555 49.063055555)"
"http://www.wikidata.org/entity/Q669309","Chambly","Point(2.248055555 49.166666666)"
"http://www.wikidata.org/entity/Q663393","Thieux","Point(2.6675 49.01)"
"http://www.wikidata.org/entity/Q613642","Villeneuve-sous-Dammartin","Point(2.639722222 49.035)"
"http://www.wikidata.org/entity/Q600171","Compans","Point(2.665 48.993888888)"
"http://www.wikidata.org/entity/Q512433","Anserville","Point(2.21 49.226666666)"
"http://www.wikidata.org/entity/Q511910","Esches","Point(2.165277777 49.218611111)"
"http://www.wikidata.org/entity/Q385617","Mauregard","Point(2.581111111 49.034166666)"
"http://www.wikidata.org/entity/Q271849","Moussy-le-Vieux","Point(2.625 49.046666666)"
