City,type,id,lon,lat,place,name,name:en,wikidata
Rome,node,259729348,12.2145902,41.8773647,suburb,Maccarese,,
Rome,node,259730830,12.2364493,41.8770052,suburb,Maccarese Scalo,,
Rome,node,259743445,12.2137847,41.8115053,suburb,Focene,,
Rome,node,261418854,12.5199218,41.9931533,neighbourhood,Belpoggio,,
Rome,node,262113961,12.4219782,41.8359144,neighbourhood,Colle del Sole,,
Rome,node,262114529,12.4135124,41.8219011,neighbourhood,Parco de' Medici,,
Rome,node,262115845,12.4207166,41.8590052,neighbourhood,Casetta Mattei,,
Rome,node,262116141,12.4384677,41.8517373,neighbourhood,Parrocchietta,,
Rome,node,262154383,12.6160251,41.7671432,suburb,Frattocchie,,
Rome,node,262158334,12.6006317,41.7727162,suburb,Santa Maria delle Mole,,
Rome,node,262161974,12.5412208,41.7778128,neighbourhood,Divino Amore,,
Rome,node,262568575,13.0012796,41.740759,suburb,Colleferro Scalo,,
Rome,node,262901221,12.1933844,41.8531333,suburb,Fregene,,
Rome,node,264648240,12.4125315,41.8494838,neighbourhood,Corviale,,
Rome,node,289685693,12.3433241,41.7882319,neighbourhood,Dragoncello,,
Rome,node,291909319,12.3548305,41.7638118,neighbourhood,Madonnetta,,
Rome,node,291909535,12.3699128,41.767739,neighbourhood,Axa,,
Rome,node,291909553,12.3780048,41.7755265,neighbourhood,Malafede,,
Rome,node,303910012,12.4693491,41.9499839,neighbourhood,Vigna Clara,,
Rome,node,311880128,12.6814313,41.9016636,neighbourhood,Villaggio Prenestino,,
Rome,node,311881317,12.6476956,41.8911372,neighbourhood,Colle Morfortani,,
Rome,node,311881439,12.6481719,41.8774154,neighbourhood,Valle Fiorita,,
Rome,node,311890142,12.5855584,41.8269086,neighbourhood,Gregna di Sant'Andrea,,
Rome,node,312416083,12.6182835,41.8328405,neighbourhood,Ponte Linari,,
Rome,node,321857348,12.4332176,41.788804,neighbourhood,Tre Pini,,
Rome,node,365208291,12.5077273,41.8821694,neighbourhood,San Giovanni,,
Rome,node,365208413,12.4799703,41.8546357,neighbourhood,San Paolo,,
Rome,node,365298416,12.5155417,41.8975008,neighbourhood,San Lorenzo,,
Rome,node,365477518,12.551683,41.8647419,neighbourhood,Quadraro,,
Rome,node,366951882,12.2965241,41.7967678,neighbourhood,Parco Leonardo,,
Rome,node,368033036,12.1996722,41.9169422,suburb,Torrimpietra,,
Rome,node,369100738,12.4165157,41.9315621,neighbourhood,Torrevecchia,,
