"place","place_label","location"
"http://www.wikidata.org/entity/Q1052943","Celio","Point(12.4947511 41.8814498)"
"http://www.wikidata.org/entity/Q3734793","Europa","Point(12.4696746 41.8312868)"
"http://www.wikidata.org/entity/Q1231958","municipio XIII","Point(12.285 41.733333)"
"http://www.wikidata.org/entity/Q18455344","Q18455344","Point(12.90012 41.96544)"
"http://www.wikidata.org/entity/Q18455330","Q18455330","Point(12.89962 41.96046)"
"http://www.wikidata.org/entity/Q18455327","Q18455327","Point(13.00184 41.89842)"
"http://www.wikidata.org/entity/Q18455265","Q18455265","Point(12.89834 41.8486)"
"http://www.wikidata.org/entity/Q18455259","Q18455259","Point(12.96717 41.78977)"
"http://www.wikidata.org/entity/Q18455246","Q18455246","Point(12.95904 41.81984)"
"http://www.wikidata.org/entity/Q18455243","Q18455243","Point(13.01223 41.89763)"
"http://www.wikidata.org/entity/Q18455241","Q18455241","Point(12.91745 41.81409)"
"http://www.wikidata.org/entity/Q18455239","Q18455239","Point(12.99371 41.74796)"
"http://www.wikidata.org/entity/Q18455233","Q18455233","Point(13.00978 41.96519)"
"http://www.wikidata.org/entity/Q18455226","Q18455226","Point(13.02257 41.71171)"
"http://www.wikidata.org/entity/Q18455125","Q18455125","Point(12.99012 41.75491)"
"http://www.wikidata.org/entity/Q18454787","Q18454787","Point(12.9579 41.81226)"
"http://www.wikidata.org/entity/Q18454753","Q18454753","Point(12.95097 42.0064)"
"http://www.wikidata.org/entity/Q18454745","Q18454745","Point(12.96383 41.78508)"
"http://www.wikidata.org/entity/Q18454743","Q18454743","Point(12.92885 41.79244)"
"http://www.wikidata.org/entity/Q18454742","Q18454742","Point(12.93152 41.79105)"
"http://www.wikidata.org/entity/Q18454740","Q18454740","Point(12.93058 41.83091)"
"http://www.wikidata.org/entity/Q18454684","Q18454684","Point(12.90356 41.84859)"
"http://www.wikidata.org/entity/Q18454678","Q18454678","Point(12.92668 41.91417)"
"http://www.wikidata.org/entity/Q18454670","Q18454670","Point(13.00509 41.82113)"
"http://www.wikidata.org/entity/Q18454647","Q18454647","Point(12.89137 41.84233)"
"http://www.wikidata.org/entity/Q18454589","Q18454589","Point(12.98136 41.93754)"
"http://www.wikidata.org/entity/Q18454574","Q18454574","Point(12.94767 41.78595)"
"http://www.wikidata.org/entity/Q18454556","Q18454556","Point(12.97233 41.76411)"
"http://www.wikidata.org/entity/Q18454554","Q18454554","Point(12.95065 41.78153)"
"http://www.wikidata.org/entity/Q18454539","Q18454539","Point(12.92089 41.7591)"
"http://www.wikidata.org/entity/Q18454533","Q18454533","Point(12.97956 41.79872)"
"http://www.wikidata.org/entity/Q18454531","Q18454531","Point(12.91312 41.96813)"
"http://www.wikidata.org/entity/Q18454514","Q18454514","Point(12.98346 41.78901)"
"http://www.wikidata.org/entity/Q18454506","Q18454506","Point(12.94608 41.86144)"
"http://www.wikidata.org/entity/Q18454496","Q18454496","Point(12.95469 41.80885)"
"http://www.wikidata.org/entity/Q18454451","Q18454451","Point(12.90363 41.83763)"
"http://www.wikidata.org/entity/Q18454417","Q18454417","Point(12.90217 41.80415)"
"http://www.wikidata.org/entity/Q18453627","Q18453627","Point(13.05706 41.77541)"
"http://www.wikidata.org/entity/Q18453425","Q18453425","Point(13.07282 41.8459)"
"http://www.wikidata.org/entity/Q18453355","Q18453355","Point(13.06983 41.83003)"
"http://www.wikidata.org/entity/Q18453331","Q18453331","Point(13.03273 41.78105)"
