"place","place_label","location"
"http://www.wikidata.org/entity/Q7415800","Sand Hill","Point(-121.696 37.9736)"
"http://www.wikidata.org/entity/Q7291272","Rancho San Miguel","Point(-122.033 37.9136)"
"http://www.wikidata.org/entity/Q5179644","Cowell","Point(-121.98944444 37.95277778)"
"http://www.wikidata.org/entity/Q5046112","Carriage Hills","Point(-122.251 37.9648)"
"http://www.wikidata.org/entity/Q5196008","Curtner","Point(-121.924 37.4697)"
"http://www.wikidata.org/entity/Q4738319","Alviso","Point(-121.966667 37.425)"
"http://www.wikidata.org/entity/Q7131522","Panoramic Hill","Point(-122.248845 37.86948)"
"http://www.wikidata.org/entity/Q7059715","Northside","Point(-122.26018 37.8751)"
"http://www.wikidata.org/entity/Q6463479","La Loma Park","Point(-122.259 37.8822)"
"http://www.wikidata.org/entity/Q5180623","Cragmont","Point(-122.265 37.89527778)"
"http://www.wikidata.org/entity/Q7430908","Schafer Park","Point(-122.086 37.6439)"
"http://www.wikidata.org/entity/Q7191533","Piedmont Pines","Point(-122.194 37.8246)"
"http://www.wikidata.org/entity/Q7121822","Pabrico","Point(-122.006 37.5828)"
"http://www.wikidata.org/entity/Q7074013","Oakland Hills","Point(-122.201 37.8384)"
"http://www.wikidata.org/entity/Q14683533","Oakmore","Point(-122.207 37.8112)"
"http://www.wikidata.org/entity/Q7606677","Stege","Point(-122.327 37.9167)"
"http://www.wikidata.org/entity/Q7571025","Southside","Point(-122.259 37.8678)"
"http://www.wikidata.org/entity/Q5764082","Hilltop Green","Point(-122.313 37.9806)"
"http://www.wikidata.org/entity/Q5430566","Fairmede-Hilltop","Point(-122.331 37.9732)"
"http://www.wikidata.org/entity/Q5366932","Elmwood","Point(-122.253 37.857)"
"http://www.wikidata.org/entity/Q5352189","El Sobrante Hills","Point(-122.289 37.9721)"
"http://www.wikidata.org/entity/Q5303370","Downtown Berkeley","Point(-122.268 37.87)"
"http://www.wikidata.org/entity/Q5126292","Claremont district","Point(-122.24944444 37.85583333)"
"http://www.wikidata.org/entity/Q5028719","Campus of the University of California","Point(-122.262 37.8741)"
"http://www.wikidata.org/entity/Q14681754","Chinatown","Point(-121.9 37.33333333)"
"http://www.wikidata.org/entity/Q6958870","Naglee Park","Point(-121.873 37.3367)"
"http://www.wikidata.org/entity/Q6159203","Japantown","Point(-121.895 37.3485)"
"http://www.wikidata.org/entity/Q5303573","Downtown San Jose","Point(-121.89 37.332)"
"http://www.wikidata.org/entity/Q7987157","Westbrae","Point(-122.289 37.8794)"
"http://www.wikidata.org/entity/Q7984463","West Berkeley","Point(-122.299 37.8744)"
"http://www.wikidata.org/entity/Q7797057","Thousand Oaks","Point(-122.279 37.8956)"
"http://www.wikidata.org/entity/Q7208151","Point Richmond","Point(-122.389 37.9242)"
"http://www.wikidata.org/entity/Q7054171","North Berkeley","Point(-122.274 37.8763)"
"http://www.wikidata.org/entity/Q6763784","Marina Bay","Point(-122.3465 37.9128)"
"http://www.wikidata.org/entity/Q6681221","Lorin District","Point(-122.274 37.8503)"
"http://www.wikidata.org/entity/Q6072867","Iron Triangle","Point(-122.36 37.9357)"
"http://www.wikidata.org/entity/Q5303558","Downtown Richmond","Point(-122.355 37.9377)"
"http://www.wikidata.org/entity/Q5028624","Campus Bay","Point(-122.33 37.9115)"
"http://www.wikidata.org/entity/Q4892056","Berkeley Marina","Point(-122.3125 37.86767)"
"http://www.wikidata.org/entity/Q4812962","Atchison Village","Point(-122.371667 37.933611)"
"http://www.wikidata.org/entity/Q7452569","Sequoyah Heights","Point(-122.137 37.7662)"
"http://www.wikidata.org/entity/Q4966061","Brickyard Cove","Point(-122.3913605 37.9088141)"
"http://www.wikidata.org/entity/Q7291203","Rancho Rinconada","Point(-122.0 37.3164)"
"http://www.wikidata.org/entity/Q3094060","Buena Vista","Point(-121.916666666 37.321388888)"
"http://www.wikidata.org/entity/Q2739143","Burbank","Point(-121.93166667 37.32055556)"
"http://www.wikidata.org/entity/Q2214519","Sunol-Midtown","Point(-121.91 37.3247)"
"http://www.wikidata.org/entity/Q14682249","Highland Park","Point(-122.2275 37.79777778)"
"http://www.wikidata.org/entity/Q14682013","Ghost Town","Point(-122.27146 37.82295)"
"http://www.wikidata.org/entity/Q7899442","Uptown Oakland","Point(-122.271 37.8094)"
"http://www.wikidata.org/entity/Q7838850","Trestle Glen","Point(-122.234 37.8125)"
"http://www.wikidata.org/entity/Q7698094","Temescal","Point(-122.262 37.8372)"
"http://www.wikidata.org/entity/Q7566320","South Berkeley","Point(-122.272 37.8489)"
"http://www.wikidata.org/entity/Q7413288","San Antonio","Point(-122.241 37.8009)"
"http://www.wikidata.org/entity/Q7355548","Rockridge","Point(-122.246 37.8428)"
"http://www.wikidata.org/entity/Q7306505","Redwood Heights","Point(-122.18833333 37.7975)"
"http://www.wikidata.org/entity/Q7191494","Piedmont Avenue","Point(-122.2524 37.8264)"
"http://www.wikidata.org/entity/Q7056205","North Oakland","Point(-122.267 37.832)"
"http://www.wikidata.org/entity/Q6904576","Montclair","Point(-122.20916667 37.83222222)"
"http://www.wikidata.org/entity/Q6673776","Longfellow","Point(-122.272 37.8302)"
"http://www.wikidata.org/entity/Q6525001","Leona Heights","Point(-122.178 37.7889)"
"http://www.wikidata.org/entity/Q6499723","Laurel","Point(-122.19805556 37.79333333)"
"http://www.wikidata.org/entity/Q6479073","Lakeside Apartments District","Point(-122.264166666 37.803333333)"
"http://www.wikidata.org/entity/Q5594722","Grand Lake","Point(-122.24583333 37.81166667)"
"http://www.wikidata.org/entity/Q5569383","Glenview","Point(-122.225 37.8061)"
"http://www.wikidata.org/entity/Q5277739","Dimond District","Point(-122.21277778 37.80333333)"
"http://www.wikidata.org/entity/Q5187320","Crocker Highlands","Point(-122.226 37.8133)"
"http://www.wikidata.org/entity/Q5001569","Bushrod Park","Point(-122.26358 37.84576)"
"http://www.wikidata.org/entity/Q4731987","Allendale","Point(-122.206 37.7878)"
"http://www.wikidata.org/entity/Q4731984","Allendale","Point(-122.206 37.7878)"
"http://www.wikidata.org/entity/Q4680391","Adams Point","Point(-122.25527778 37.81388889)"
"http://www.wikidata.org/entity/Q14683911","Santa Fe","Point(-122.274 37.8423)"
"http://www.wikidata.org/entity/Q7986100","West Oakland","Point(-122.295 37.8119)"
"http://www.wikidata.org/entity/Q7930622","Village Bottoms","Point(-122.297 37.8121)"
"http://www.wikidata.org/entity/Q7568427","South Shore","Point(-122.258 37.7597)"
"http://www.wikidata.org/entity/Q7166903","Peralta Villa","Point(-122.291 37.8075)"
"http://www.wikidata.org/entity/Q7084649","Old Oakland","Point(-122.274 37.8011)"
"http://www.wikidata.org/entity/Q7074041","Oakland Point","Point(-122.304 37.8078)"
"http://www.wikidata.org/entity/Q7073983","Oakland City Center","Point(-122.273 37.8041)"
"http://www.wikidata.org/entity/Q6693337","Lower Bottoms","Point(-122.29361389 37.80505278)"
"http://www.wikidata.org/entity/Q6113733","Jack London District","Point(-122.27715 37.794742)"
"http://www.wikidata.org/entity/Q5579418","Golden Gate","Point(-122.2835 37.8447)"
"http://www.wikidata.org/entity/Q5288482","Dogtown","Point(-122.286 37.8245)"
"http://www.wikidata.org/entity/Q5028171","Campbell Village Court","Point(-122.299 37.8087)"
"http://www.wikidata.org/entity/Q5028170","Campbell Village","Point(-122.299 37.8083)"
"http://www.wikidata.org/entity/Q4873996","Bay Farm Island","Point(-122.235 37.737)"
"http://www.wikidata.org/entity/Q4674537","Acorn","Point(-122.287 37.802)"
"http://www.wikidata.org/entity/Q1833634","Jack London Square","Point(-122.2747 37.7942)"
"http://www.wikidata.org/entity/Q14682502","Jackson Square","Point(-122.402908 37.7964)"
"http://www.wikidata.org/entity/Q6053170","International Settlement","Point(-122.404 37.7973)"
"http://www.wikidata.org/entity/Q5061031","Central Embarcadero Piers Historic District","Point(-122.395508 37.797683)"
"http://www.wikidata.org/entity/Q4859490","Barbary Coast","Point(-122.406 37.7966)"
"http://www.wikidata.org/entity/Q1283754","Telegraph Hill","Point(-122.405763888 37.802375)"
"http://www.wikidata.org/entity/Q768669","Yerba Buena Island","Point(-122.366002 37.809912)"
"http://www.wikidata.org/entity/Q599301","Financial District","Point(-122.4029 37.7952)"
"http://www.wikidata.org/entity/Q14682148","Havenscourt","Point(-122.18722222 37.76555556)"
"http://www.wikidata.org/entity/Q7550192","Sobrante Park","Point(-122.17879444 37.73269722)"
"http://www.wikidata.org/entity/Q7449471","Seminary Park","Point(-122.188 37.7736)"
"http://www.wikidata.org/entity/Q7449469","Seminary","Point(-122.196 37.7677)"
"http://www.wikidata.org/entity/Q7332774","Ridgemont","Point(-122.158 37.782)"
"http://www.wikidata.org/entity/Q6860030","Millsmont","Point(-122.176 37.7761)"
"http://www.wikidata.org/entity/Q6813624","Melrose","Point(-122.205 37.77)"
"http://www.wikidata.org/entity/Q6796139","Maxwell Park","Point(-122.19583333 37.77916667)"
"http://www.wikidata.org/entity/Q6665892","Lockwood Gardens","Point(-122.197 37.7617)"
"http://www.wikidata.org/entity/Q5597467","Grass Valley","Point(-122.151 37.7523)"
"http://www.wikidata.org/entity/Q5506470","Fruitvale","Point(-122.22027778 37.77972222)"
"http://www.wikidata.org/entity/Q5445137","Fernside","Point(-122.229 37.7653)"
"http://www.wikidata.org/entity/Q5366751","Elmhurst","Point(-122.172 37.7519)"
"http://www.wikidata.org/entity/Q5330805","Eastmont","Point(-122.172 37.7692)"
"http://www.wikidata.org/entity/Q5329066","East Oakland","Point(-122.2 37.77)"
"http://www.wikidata.org/entity/Q5303527","Downtown Oakland","Point(-122.271 37.8044)"
"http://www.wikidata.org/entity/Q5134031","Clinton","Point(-122.251 37.7964)"
"http://www.wikidata.org/entity/Q5124273","Civic Center","Point(-122.26487222 37.80079722)"
"http://www.wikidata.org/entity/Q5100154","Chinatown","Point(-122.27027778 37.8)"
"http://www.wikidata.org/entity/Q4974709","Brooklyn","Point(-122.249 37.7885)"
"http://www.wikidata.org/entity/Q4974606","Brookfield Village","Point(-122.186 37.7353)"
"http://www.wikidata.org/entity/Q2008553","Oaksterdam","Point(-122.269 37.8072)"
"http://www.wikidata.org/entity/Q1689582","Jingletown","Point(-122.23225 37.772611111)"
"http://www.wikidata.org/entity/Q7334615","Rincon Hill","Point(-122.39194444 37.78555556)"
"http://www.wikidata.org/entity/Q3413299","Belden Place","Point(-122.40376 37.79125)"
"http://www.wikidata.org/entity/Q6903127","Monta Vista","Point(-122.058 37.3227)"
"http://www.wikidata.org/entity/Q8033387","Woodstock","Point(-122.286 37.7764)"
"http://www.wikidata.org/entity/Q7985023","West End","Point(-122.281 37.7725)"
"http://www.wikidata.org/entity/Q6878535","Mission Bay","Point(-122.391 37.7668)"
"http://www.wikidata.org/entity/Q6070817","Irish Hill","Point(-122.386 37.7587)"
"http://www.wikidata.org/entity/Q5288411","Dogpatch","Point(-122.39107 37.7606)"
"http://www.wikidata.org/entity/Q3492264","South Park","Point(-122.394 37.7815)"
"http://www.wikidata.org/entity/Q3400108","Potrero Hill","Point(-122.39986 37.75716)"
"http://www.wikidata.org/entity/Q7936299","Visitacion Valley","Point(-122.4 37.716666666)"
"http://www.wikidata.org/entity/Q6933944","Mulford Gardens","Point(-122.18 37.7047)"
"http://www.wikidata.org/entity/Q6933937","Mulford","Point(-122.18 37.7094)"
"http://www.wikidata.org/entity/Q4999178","Burlingame Terrace","Point(-122.36 37.5838)"
"http://www.wikidata.org/entity/Q2892361","Bayview-Hunters Point","Point(-122.38873 37.72687)"
"http://www.wikidata.org/entity/Q6412179","King and Story","Point(-121.843 37.34)"
"http://www.wikidata.org/entity/Q5180093","Coyote Valley","Point(-121.7 37.18)"
"http://www.wikidata.org/entity/Q4894856","Berryessa","Point(-121.86051 37.386329)"
"http://www.wikidata.org/entity/Q3461009","Alum Rock","Point(-121.82528 37.3675)"
"http://www.wikidata.org/entity/Q1277862","East Foothills","Point(-121.82 37.38)"
"http://www.wikidata.org/entity/Q7568379","South San Jose","Point(-121.838 37.2386)"
"http://www.wikidata.org/entity/Q5417156","Evergreen","Point(-121.784 37.3097)"
"http://www.wikidata.org/entity/Q2839069","Almaden Valley","Point(-121.8622 37.2214)"
"http://www.wikidata.org/entity/Q4928448","Blossom Valley","Point(-121.937 37.2391)"
"http://www.wikidata.org/entity/Q14684269","Willow Glen","Point(-121.897 37.3036)"
"http://www.wikidata.org/entity/Q1911837","Cambrian Park","Point(-121.928888888 37.255555555)"
"http://www.wikidata.org/entity/Q7568146","South Park","Point(-122.708 38.4284)"
"http://www.wikidata.org/entity/Q7703102","Terra Linda","Point(-122.549722222 38.004166666)"
"http://www.wikidata.org/entity/Q7208164","Point San Pablo Yacht Harbor","Point(-122.4183 37.9634)"
"http://www.wikidata.org/entity/Q6751298","Manor","Point(-122.590833333 37.990833333)"
"http://www.wikidata.org/entity/Q6651543","Little Reed Heights","Point(-122.485833333 37.895833333)"
"http://www.wikidata.org/entity/Q2000502","North Beach","Point(-122.410183333 37.800288888)"
"http://www.wikidata.org/entity/Q7777269","Theater District","Point(-122.411 37.7825)"
"http://www.wikidata.org/entity/Q7699632","Tendernob","Point(-122.416 37.789)"
"http://www.wikidata.org/entity/Q1073644","Chinatown","Point(-122.407222222 37.794722222)"
"http://www.wikidata.org/entity/Q933336","Marina District","Point(-122.436111111 37.803055555)"
"http://www.wikidata.org/entity/Q527972","Union Square","Point(-122.4075 37.788055555)"
"http://www.wikidata.org/entity/Q339055","Russian Hill","Point(-122.419827777 37.80175)"
"http://www.wikidata.org/entity/Q7466","Nob Hill","Point(-122.41448 37.79323)"
"http://www.wikidata.org/entity/Q7987437","Western Addition","Point(-122.428 37.7825)"
"http://www.wikidata.org/entity/Q6159207","Japantown","Point(-122.4298 37.7851)"
"http://www.wikidata.org/entity/Q4735994","Alta Plaza","Point(-122.438 37.7912)"
"http://www.wikidata.org/entity/Q3296615","Cathedral Hill","Point(-122.425 37.7842)"
"http://www.wikidata.org/entity/Q1755360","Presidio of San Francisco","Point(-122.465833333 37.798055555)"
"http://www.wikidata.org/entity/Q1546101","Pacific Heights","Point(-122.4356 37.7917)"
"http://www.wikidata.org/entity/Q1414197","Fillmore District","Point(-122.433081 37.790147)"
"http://www.wikidata.org/entity/Q7464","Tenderloin","Point(-122.41666667 37.78333333)"
"http://www.wikidata.org/entity/Q16984091","Rescue Row","Point(-122.412492 37.766095)"
"http://www.wikidata.org/entity/Q6840753","Mid-Market","Point(-122.412534 37.780518)"
"http://www.wikidata.org/entity/Q1855438","Alamo Square","Point(-122.434708333 37.776383333)"
"http://www.wikidata.org/entity/Q1507644","South of Market","Point(-122.411111111 37.777222222)"
"http://www.wikidata.org/entity/Q427116","Sea Cliff","Point(-122.49 37.7875)"
"http://www.wikidata.org/entity/Q267874","Civic Center","Point(-122.415833333 37.779166666)"
"http://www.wikidata.org/entity/Q16967356","Duboce Park Landmark District","Point(-122.4334 37.7698)"
"http://www.wikidata.org/entity/Q6693515","Lower Haight","Point(-122.430466 37.772116)"
"http://www.wikidata.org/entity/Q6671309","Lone Mountain","Point(-122.453 37.7784)"
"http://www.wikidata.org/entity/Q5311050","Duboce Triangle","Point(-122.433333333 37.766666666)"
"http://www.wikidata.org/entity/Q3342640","Noe Valley","Point(-122.431861111 37.751444444)"
"http://www.wikidata.org/entity/Q3128858","Hayes Valley","Point(-122.428 37.7728)"
"http://www.wikidata.org/entity/Q1819474","Eureka Valley","Point(-122.43093 37.76594)"
"http://www.wikidata.org/entity/Q1027700","Haight-Ashbury","Point(-122.446937 37.770015)"
"http://www.wikidata.org/entity/Q956169","The Castro","Point(-122.435119444 37.761711111)"
"http://www.wikidata.org/entity/Q7469","Mission District","Point(-122.42 37.76)"
"http://www.wikidata.org/entity/Q7989883","Westwood Highlands","Point(-122.457 37.733)"
"http://www.wikidata.org/entity/Q7986279","West Portal","Point(-122.465819444 37.740922222)"
"http://www.wikidata.org/entity/Q7588003","St. Francis Wood","Point(-122.468 37.7348)"
"http://www.wikidata.org/entity/Q5142696","Cole Valley","Point(-122.44975 37.76485)"
"http://www.wikidata.org/entity/Q3624755","Balboa Park","Point(-122.445 37.725)"
"http://www.wikidata.org/entity/Q3343204","Bernal Heights","Point(-122.432 37.7186)"
"http://www.wikidata.org/entity/Q3077158","Forest Hill","Point(-122.463 37.748)"
"http://www.wikidata.org/entity/Q3061804","Excelsior District","Point(-122.43276 37.72058)"
"http://www.wikidata.org/entity/Q3026094","Diamond Heights","Point(-122.4416379 37.7457639)"
"http://www.wikidata.org/entity/Q965932","Glen Park","Point(-122.433333333 37.733888888)"
"http://www.wikidata.org/entity/Q7989906","Westwood Park","Point(-122.458 37.7276)"
"http://www.wikidata.org/entity/Q7138699","Parkside","Point(-122.492012 37.743969)"
"http://www.wikidata.org/entity/Q7138610","Parkmerced","Point(-122.479 37.7184)"
"http://www.wikidata.org/entity/Q7112950","Outside Lands","Point(-122.482 37.7687)"
"http://www.wikidata.org/entity/Q6032653","Ingleside Terraces","Point(-122.469 37.725)"
"http://www.wikidata.org/entity/Q5047569","Carville","Point(-122.507 37.7567)"
"http://www.wikidata.org/entity/Q4395003","Richmond District","Point(-122.482777777 37.777777777)"
"http://www.wikidata.org/entity/Q3067574","Sunset District","Point(-122.49 37.75)"
"http://www.wikidata.org/entity/Q7988958","Westlake","Point(-122.480555555 37.697777777)"
"http://www.wikidata.org/entity/Q7455269","Serramonte","Point(-122.469 37.6689)"
"http://www.wikidata.org/entity/Q7111991","Outer Mission","Point(-122.451038888 37.711088888)"
"http://www.wikidata.org/entity/Q7076102","Ocean View","Point(-122.4567 37.7144)"
"http://www.wikidata.org/entity/Q5187311","Crocker-Amazon","Point(-122.43945 37.71282)"
"http://www.wikidata.org/entity/Q6166550","Waterloo","Point(-121.181 38.04)"
"http://www.wikidata.org/entity/Q4671833","Acampo","Point(-121.280277777 38.171944444)"
"http://www.wikidata.org/entity/Q3662315","Collierville","Point(-121.265 38.2131)"
"http://www.wikidata.org/entity/Q3458638","Victor","Point(-121.198888888 38.138611111)"
"http://www.wikidata.org/entity/Q3301909","North Woodbridge","Point(-121.30889 38.16028)"
"http://www.wikidata.org/entity/Q3301194","Morada","Point(-121.24917 38.03972)"
"http://www.wikidata.org/entity/Q3030642","Woodbridge","Point(-121.309444444 38.165833333)"
"http://www.wikidata.org/entity/Q2617712","August","Point(-121.26389 37.97972)"
"http://www.wikidata.org/entity/Q2490795","Kennedy","Point(-121.25167 37.93167)"
"http://www.wikidata.org/entity/Q2478982","South Woodbridge","Point(-121.306 38.1542)"
"http://www.wikidata.org/entity/Q1494075","Garden Acres","Point(-121.231388888 37.961388888)"
"http://www.wikidata.org/entity/Q222137","Geyserville","Point(-122.9025 38.707777777)"
"http://www.wikidata.org/entity/Q6644903","Parkway","Point(-121.452 38.4994)"
"http://www.wikidata.org/entity/Q5972693","Lemon Hill","Point(-121.457 38.5172)"
"http://www.wikidata.org/entity/Q5501102","Freeport","Point(-121.502 38.4619)"
"http://www.wikidata.org/entity/Q3476013","Clarksburg","Point(-121.527222222 38.420555555)"
"http://www.wikidata.org/entity/Q2303659","Taft Mosswood","Point(-121.281666666 37.916388888)"
"http://www.wikidata.org/entity/Q2233853","Salida","Point(-121.089 37.71)"
"http://www.wikidata.org/entity/Q1927581","Laguna West-Lakeside","Point(-121.469166666 38.418055555)"
