"place","place_label","location"
"http://www.wikidata.org/entity/Q2648244","Chang-dong","Point(127.044 37.648)"
"http://www.wikidata.org/entity/Q2647212","Banghak-dong","Point(127.034 37.667)"
"http://www.wikidata.org/entity/Q2647706","Cheongdam-dong","Point(127.049 37.525)"
"http://www.wikidata.org/entity/Q488678","Insa-dong","Point(126.986 37.573)"
"http://www.wikidata.org/entity/Q17062497","Hongji-dong","Point(126.967 37.6)"
"http://www.wikidata.org/entity/Q2681375","Anam-dong","Point(127.021 37.586)"
"http://www.wikidata.org/entity/Q2648045","Bulgwang-dong","Point(126.93 37.619)"
"http://www.wikidata.org/entity/Q2647320","Cheongnyangni-dong","Point(127.047 37.586)"
"http://www.wikidata.org/entity/Q2647261","Beon-dong","Point(127.037 37.628)"
"http://www.wikidata.org/entity/Q4937971","Bogwang-dong","Point(127.0 37.526)"
"http://www.wikidata.org/entity/Q490602","Apgujeong-dong","Point(127.031 37.531)"
"http://www.wikidata.org/entity/Q16181763","Dongcheon-dong","Point(127.099225 37.341851)"
"http://www.wikidata.org/entity/Q12621535","Pangyo-dong","Point(127.1 37.3833)"
"http://www.wikidata.org/entity/Q7896937","Unjung-dong","Point(127.067 37.3833)"
"http://www.wikidata.org/entity/Q7322059","Chunghyeon-dong","Point(126.958 37.564)"
"http://www.wikidata.org/entity/Q6002022","Imae-dong","Point(127.133 37.4)"
"http://www.wikidata.org/entity/Q5554848","Geumgok-dong","Point(127.1 37.3667)"
"http://www.wikidata.org/entity/Q4997501","Bundang-dong","Point(127.131 37.37)"
"http://www.wikidata.org/entity/Q2647272","Galhyeon-dong","Point(126.98333333 37.41666667)"
"http://www.wikidata.org/entity/Q493272","Sogong-dong","Point(126.967 37.5667)"
"http://www.wikidata.org/entity/Q12584489","Gohyeon-dong","Point(127.417 37.55)"
"http://www.wikidata.org/entity/Q2681733","Bangbae-dong","Point(126.98333333 37.48333333)"
"http://www.wikidata.org/entity/Q2681380","Seocho-dong","Point(127.01666667 37.48333333)"
"http://www.wikidata.org/entity/Q2647402","Suseo-dong","Point(127.09612778 37.48644167)"
"http://www.wikidata.org/entity/Q4855165","Bangi-dong","Point(127.122 37.516)"
"http://www.wikidata.org/entity/Q2647314","Amsa-dong","Point(127.130214 37.560494)"
"http://www.wikidata.org/entity/Q2681450","Ahyeon-dong","Point(126.957 37.555)"
"http://www.wikidata.org/entity/Q2681423","Hapjeong-dong","Point(126.906 37.5495)"
"http://www.wikidata.org/entity/Q12598677","Bugok-dong","Point(126.95 37.3167)"
"http://www.wikidata.org/entity/Q2647358","Sillim-dong","Point(126.927114 37.487371)"
"http://www.wikidata.org/entity/Q16169313","Ansan-dong","Point(126.883 37.1833)"
"http://www.wikidata.org/entity/Q12613630","Il-dong","Point(126.866208 37.31028)"
"http://www.wikidata.org/entity/Q12597430","Banwol-dong","Point(126.9 37.3)"
"http://www.wikidata.org/entity/Q6064960","Ipbuk-dong","Point(126.95972222 37.29333333)"
"http://www.wikidata.org/entity/Q16169676","Seo-dong","Point(127.033 37.15)"
"http://www.wikidata.org/entity/Q7561636","Songtan","Point(127.05 37.08333333)"
"http://www.wikidata.org/entity/Q6296922","Jowon-dong","Point(127.00944444 37.30555556)"
"http://www.wikidata.org/entity/Q2681343","Dohwa-dong","Point(126.65 37.48333333)"
"http://www.wikidata.org/entity/Q8684","Seoul","Point(127.0 37.583333333)"
"http://www.wikidata.org/entity/Q4855621","Bangsan-dong","Point(127.0 37.57)"
"http://www.wikidata.org/entity/Q4764014","Anguk-dong","Point(126.984 37.577)"
"http://www.wikidata.org/entity/Q490981","Bukchon Hanok Village","Point(126.98361111 37.58305556)"
"http://www.wikidata.org/entity/Q5103318","Cho-dong","Point(126.992 37.564)"
"http://www.wikidata.org/entity/Q4986822","Bukchang-dong","Point(126.978 37.562)"
"http://www.wikidata.org/entity/Q4941890","Bongnae-dong","Point(126.972 37.559)"
"http://www.wikidata.org/entity/Q2648251","Namhyeon-dong","Point(126.983 37.4667)"
"http://www.wikidata.org/entity/Q624714","Digital Media City","Point(126.88977222 37.57699722)"
"http://www.wikidata.org/entity/Q2647633","Balsan-dong","Point(126.834 37.552)"
"http://www.wikidata.org/entity/Q2647202","Banghwa-dong","Point(126.814 37.576)"
"http://www.wikidata.org/entity/Q495836","Command Post Tango","Point(127.0593 37.426)"
"http://www.wikidata.org/entity/Q623880","Wiryeseong","Point(127.116838888 37.530625)"
"http://www.wikidata.org/entity/Q4748785","Amsil","Point(126.583333333 37.783333333)"
"http://www.wikidata.org/entity/Q1813420","Aho-dong","Point(126.366666666 37.9)"
"http://www.wikidata.org/entity/Q495167","Panmunjom","Point(126.677 37.956)"
"http://www.wikidata.org/entity/Q494593","Kijŏng-dong","Point(126.65556 37.94528)"
"http://www.wikidata.org/entity/Q487455","Daeseong-dong","Point(126.68 37.94166667)"
"http://www.wikidata.org/entity/Q488965","Songdo International Business District","Point(126.652222222 37.388888888)"
"http://www.wikidata.org/entity/Q42135","Uijeongbu","Point(127.038888888 37.748611111)"
"http://www.wikidata.org/entity/Q42084","Namyangju","Point(127.214166666 37.636666666)"
"http://www.wikidata.org/entity/Q42071","Guri","Point(127.142777777 37.594722222)"
