"City","type","id","lon","lat","place","name","name:en","wikidata"
Siem Reap,node,1853704127,104.8585799,11.5965113,neighbourhood,Kaksekor community,,
Siem Reap,node,1853707238,104.9003978,11.4825474,neighbourhood,Rolous Choeung Ek,,
Siem Reap,node,2022622255,104.9194273,11.5772693,suburb,ខណ្ឌដូនពេញ,Daun Penh,
Siem Reap,node,2022623613,104.9106689,11.5637649,suburb,ខណ្ឌ៧មករា,Prampi Makara,
Siem Reap,node,2022802976,104.9148686,11.5452121,suburb,ខណ្ឌចំការមន,Chamkar Mon,
Siem Reap,node,2024110324,104.8984702,11.5315089,suburb,ខណ្ឌមានជ័យ,Mean Chey,
Siem Reap,node,2026019028,104.8993066,11.5739223,suburb,ខណ្ឌទួលគោក,Toul Kork,
Siem Reap,node,2026084795,104.891422,11.5057732,suburb,ខណ្ឌដង្កោ,Dangkao,
Siem Reap,node,2026085956,104.8541878,11.562097,suburb,ខណ្ឌពោធិ៍សែនជ័យ,Por Senchey,
Siem Reap,node,2026101925,104.9045576,11.6286824,suburb,ខណ្ឌឫស្សីកែវ,Russey Keo,
Siem Reap,node,2026102703,104.8692475,11.5785557,suburb,ខណ្ឌសែនសុខ,Sen Sok,
Siem Reap,node,2052832513,104.8608617,11.6591915,suburb,ខណ្ឌព្រែកព្នៅ,Prek Phnov,
Siem Reap,node,2071048221,104.8334767,11.5727559,neighbourhood,Samaki Akphiwat DK31,,
Siem Reap,node,2071052943,104.8440098,11.5861465,neighbourhood,Krang Angkrang 2 DK54,,
Siem Reap,node,2071053477,104.8435492,11.5782611,neighbourhood,Krang Angkrang 1 DK53,,
Siem Reap,node,2071063194,104.8357856,11.6015491,neighbourhood,Samaki DK 32 Community,,
Siem Reap,node,2072431654,104.842181,11.5818859,neighbourhood,Krang Angkrang 1 Community,,
Siem Reap,node,2072431655,104.8417918,11.5830621,neighbourhood,Krang Angkrang 2 Community,,
Siem Reap,node,2072434439,104.8328054,11.612374,neighbourhood,Svay Chek Thmey,,
Siem Reap,node,2072437060,104.8156988,11.5956645,neighbourhood,Khmer Leo Thmey Commuinity,,
Siem Reap,node,2072440128,104.8182498,11.5903929,neighbourhood,Mlop Por Thmey Community,,
Siem Reap,node,2072440132,104.8164128,11.592489,neighbourhood,Phum Andoung Thmey Community,,
Siem Reap,node,2072443140,104.8213875,11.6158748,neighbourhood,DK 50 Community,,
Siem Reap,node,2077065367,104.7883453,11.5816814,neighbourhood,Trapang Anhchangh DK13 Community,,
Siem Reap,node,2077099427,104.8473804,11.6188037,neighbourhood,Samrong Meanchey,,
Siem Reap,node,2077099428,104.8465913,11.6210809,neighbourhood,Sen Ponloe 1 Community,,
Siem Reap,node,2077099429,104.8465321,11.6216346,neighbourhood,Sen Ponloe 2 Community,,
Siem Reap,node,2077099430,104.8464672,11.6223308,neighbourhood,Sen Rik Reay Community,,
Siem Reap,node,2077099431,104.8483459,11.6217818,neighbourhood,Sen Sousdey Community,,
Siem Reap,node,2077103461,104.8422377,11.6223392,neighbourhood,Sen Sabay Community,,
Siem Reap,node,2077203015,104.8027787,11.5439565,neighbourhood,Community (DK26),,
Siem Reap,node,2077203023,104.8033313,11.5467052,neighbourhood,Samaki 1 Community (DK22),,
Siem Reap,node,2077203027,104.801523,11.5453065,neighbourhood,Samaki 3 Community (DK30),,
Siem Reap,node,2077206474,104.8120065,11.5665615,neighbourhood,Community (DK12),,
Siem Reap,node,2077206475,104.8297921,11.5661255,neighbourhood,Ka Kab Community (DK11),,
Siem Reap,node,2080755239,104.8234231,11.5305725,neighbourhood,DK 17,,
Siem Reap,node,2435984099,104.9325218,11.5836605,suburb,ខណ្ឌជ្រោយចង្វារ,Chroy Changvar,
Siem Reap,node,2440086067,104.9389009,11.5467192,suburb,កោះពេជ្រ,Koh Pich,
Siem Reap,node,2564284420,104.9035286,11.5229194,neighbourhood,Tnaut Chrum 3 Community,,
Siem Reap,node,3074982996,104.9667447,11.5228263,suburb,ខណ្ឌច្បារអំពៅ,Chbar Ampov,
Siem Reap,node,3238106890,104.9503528,11.4960904,neighbourhood,Chamroeung Aphiwat Community,,
Siem Reap,node,3416861117,104.9423948,11.5186758,neighbourhood,Preah Punlea Community,,
Siem Reap,node,3416868151,104.9409263,11.5350369,neighbourhood,Chamrouen Community,,
Siem Reap,node,3416870096,104.94884,11.5462437,neighbourhood,Koh Norea Community,,
Siem Reap,node,3416875888,104.9478908,11.5017528,neighbourhood,Reak Chamrouen Community,,
Siem Reap,node,3416892619,104.9502958,11.5312152,neighbourhood,Akphiwat Thmey Community,,
Siem Reap,node,3416894499,104.8330143,11.5720815,neighbourhood,Prey Sala Thmey Community,,
Siem Reap,node,3416904293,104.8965653,11.6348509,neighbourhood,Pum khhor,,
Siem Reap,node,3416904295,104.8934059,11.6360235,neighbourhood,Phum1,,
Siem Reap,node,3416908291,104.8870928,11.6380125,neighbourhood,Phum 3,,
Siem Reap,node,3419291332,104.9511005,11.5306947,neighbourhood,Niroth Beoung Chhuk,,
Siem Reap,node,3740183886,104.820039,11.613526,neighbourhood,Sangkat Kouk Roka,,
Siem Reap,node,3740185326,104.8470327,11.6315529,neighbourhood,Sangkat Khmounj,,
Siem Reap,node,3740189725,104.8592872,11.6611895,neighbourhood,Psa Lech Village,,
Siem Reap,node,3767805179,104.8957307,11.6354273,neighbourhood,Islamic Community (Soorav Almoperic km 8),,
