"place","place_label","location"
"http://www.wikidata.org/entity/Q14212677","Q14212677","Point(103.97384 13.20948)"
"http://www.wikidata.org/entity/Q7186582","Phnom Srok","Point(103.33333333 13.75)"
"http://www.wikidata.org/entity/Q6919166","Moung","Point(103.45 12.7667)"
"http://www.wikidata.org/entity/Q6899508","Mongkol Borei","Point(103.16666667 13.46666667)"
"http://www.wikidata.org/entity/Q223665","Angkor Thom","Point(103.859682 13.443302)"
"http://www.wikidata.org/entity/Q748336","Battambang","Point(103.2 13.1)"
"http://www.wikidata.org/entity/Q163607","Angkor","Point(103.833333333 13.433333333)"
"http://www.wikidata.org/entity/Q11711","Siem Reap","Point(103.859722222 13.362222222)"
"http://www.wikidata.org/entity/Q604429","Samraong","Point(103.583333333 14.0)"
"http://www.wikidata.org/entity/Q7691693","Tean Kam","Point(103.233 13.7)"
"http://www.wikidata.org/entity/Q7359655","Rohal","Point(103.233 13.6167)"
"http://www.wikidata.org/entity/Q7301402","Reang Kesei","Point(103.267 12.9667)"
"http://www.wikidata.org/entity/Q6961148","Nam Tau, Cambodia","Point(103.4 13.85)"
"http://www.wikidata.org/entity/Q6435110","Koy Maeng","Point(103.25 13.183333333)"
"http://www.wikidata.org/entity/Q6359305","Kampong Phluk","Point(104.066666666 12.883333333)"
"http://www.wikidata.org/entity/Q4766146","Anlong Vil","Point(103.233333333 13.083333333)"
"http://www.wikidata.org/entity/Q2399527","Roluos","Point(103.972222222 13.341944444)"
