"place","place_label","location"
"http://www.wikidata.org/entity/Q7517530","Simei Estate","Point(103.954166666 1.343333333)"
"http://www.wikidata.org/entity/Q5110386","Tampines","Point(103.957 1.34959)"
"http://www.wikidata.org/entity/Q10860944","Hougang","Point(103.893055555 1.371777777)"
"http://www.wikidata.org/entity/Q4761845","Ang Mo Kio","Point(103.845619444 1.370166666)"
"http://www.wikidata.org/entity/Q3249777","Bishan","Point(103.851 1.35083)"
"http://www.wikidata.org/entity/Q6924340","Mount Vernon, Singapore","Point(103.9 1.333333333)"
"http://www.wikidata.org/entity/Q6920638","Mount Emily Park, Singapore","Point(103.847222222 1.304166666)"
"http://www.wikidata.org/entity/Q12492866","Kulai","Point(103.6 1.666666666)"
"http://www.wikidata.org/entity/Q7697912","Teluk Ramunia","Point(104.2475 1.371944444)"
"http://www.wikidata.org/entity/Q7404283","Saleng","Point(103.63333333 1.63333333)"
"http://www.wikidata.org/entity/Q7313202","Renggam","Point(103.4 1.883333333)"
"http://www.wikidata.org/entity/Q7162711","Pengerang","Point(104.116666666 1.366666666)"
"http://www.wikidata.org/entity/Q6669439","Lombong","Point(103.85 1.8)"
"http://www.wikidata.org/entity/Q6505461","Layang-Layang, Johor","Point(103.483333333 1.816666666)"
"http://www.wikidata.org/entity/Q6131581","Tanjung Pengelih","Point(104.089722222 1.369166666)"
"http://www.wikidata.org/entity/Q6015657","Indahpura","Point(103.5895369 1.6380756)"
"http://www.wikidata.org/entity/Q4890696","Benut","Point(103.266666666 1.633333333)"
"http://www.wikidata.org/entity/Q4854430","Bandar Tenggara","Point(103.616666666 1.866666666)"
"http://www.wikidata.org/entity/Q4854413","Bandar Putra Kulai","Point(103.63191667 1.65638889)"
"http://www.wikidata.org/entity/Q4854407","Bandar Penawar","Point(104.233 1.55)"
"http://www.wikidata.org/entity/Q4854402","Bandar Mas","Point(104.14027778 1.61263889)"
"http://www.wikidata.org/entity/Q4831160","Ayer Bemban","Point(103.483333333 1.7)"
"http://www.wikidata.org/entity/Q2228374","Kelapa Sawit","Point(103.533333333 1.666666666)"
"http://www.wikidata.org/entity/Q2217703","Q2217703","Point(103.32 1.83)"
"http://www.wikidata.org/entity/Q935184","Kota Tinggi","Point(103.9 1.73)"
"http://www.wikidata.org/entity/Q10861365","Sengkang","Point(103.895638888 1.390666666)"
"http://www.wikidata.org/entity/Q7683420","Tanjung Langsat","Point(104.016666666 1.466666666)"
"http://www.wikidata.org/entity/Q7450577","Sengkang New Town","Point(103.894444444 1.391666666)"
"http://www.wikidata.org/entity/Q7260158","Punggol New Town","Point(103.902083333 1.405277777)"
"http://www.wikidata.org/entity/Q7260156","Punggol","Point(103.908972222 1.398277777)"
"http://www.wikidata.org/entity/Q5072003","Changi Village","Point(103.983333333 1.383333333)"
"http://www.wikidata.org/entity/Q1812824","Changi","Point(103.986388888 1.391111111)"
"http://www.wikidata.org/entity/Q1018693","Pasir Gudang","Point(103.89 1.45)"
"http://www.wikidata.org/entity/Q11152281","Tampoi, Johor","Point(103.705555555 1.49)"
"http://www.wikidata.org/entity/Q8053844","Yishun New Town","Point(103.833333333 1.433333333)"
"http://www.wikidata.org/entity/Q7692083","Tebrau","Point(103.75 1.533333333)"
"http://www.wikidata.org/entity/Q7680664","Taman Ungku Tun Aminah","Point(103.666666666 1.516666666)"
"http://www.wikidata.org/entity/Q7680641","Taman Molek","Point(103.8 1.55)"
"http://www.wikidata.org/entity/Q7680640","Taman Melodies","Point(103.766666666 1.483333333)"
"http://www.wikidata.org/entity/Q7680631","Taman Johor Jaya","Point(103.817 1.53333)"
"http://www.wikidata.org/entity/Q7445848","Seelong","Point(103.76222222 1.48555556)"
"http://www.wikidata.org/entity/Q7204554","Plentong","Point(103.81666667 1.53333333)"
"http://www.wikidata.org/entity/Q6782396","Masai, Johor","Point(103.883 1.48333)"
"http://www.wikidata.org/entity/Q6548812","Lima Kedai","Point(103.616666666 1.5)"
"http://www.wikidata.org/entity/Q6387036","Kempas","Point(103.7 1.55)"
"http://www.wikidata.org/entity/Q5254191","Skudai","Point(103.66666667 1.53333333)"
"http://www.wikidata.org/entity/Q2500990","Q2500990","Point(103.67 1.53)"
"http://www.wikidata.org/entity/Q1905342","Ulu Tiram","Point(103.82 1.6)"
"http://www.wikidata.org/entity/Q1059565","Senai","Point(103.63333333 1.58333333)"
"http://www.wikidata.org/entity/Q5254438","Woodlands","Point(103.786705555 1.436269444)"
"http://www.wikidata.org/entity/Q12689270","Kampung Nong Chik","Point(103.73755556 1.46980556)"
"http://www.wikidata.org/entity/Q2224065","Bukit Panjang","Point(103.7625 1.380833333)"
"http://www.wikidata.org/entity/Q1069101","Choa Chu Kang","Point(103.75 1.383333333)"
"http://www.wikidata.org/entity/Q6764201","Marine Parade","Point(103.907777777 1.303055555)"
"http://www.wikidata.org/entity/Q6315392","Jurong West","Point(103.706816666 1.3445)"
"http://www.wikidata.org/entity/Q525295","Geylang","Point(103.886944444 1.320555555)"
"http://www.wikidata.org/entity/Q3306197","Central Area","Point(103.85194444 1.28777778)"
"http://www.wikidata.org/entity/Q14439130","Jurong","Point(103.716894444 1.316672222)"
"http://www.wikidata.org/entity/Q6442600","Kukup","Point(103.45 1.316666666)"
"http://www.wikidata.org/entity/Q6359454","Kampung Kayu Ara Pasong","Point(103.4 1.56666667)"
"http://www.wikidata.org/entity/Q5530362","Gelang Patah","Point(103.583333333 1.45)"
"http://www.wikidata.org/entity/Q3545594","Ulu Choh","Point(103.55 1.53333)"
"http://www.wikidata.org/entity/Q1951088","Pekan Nanas","Point(103.52 1.52)"
"http://www.wikidata.org/entity/Q1714023","Jurong East","Point(103.739947222 1.328883333)"
"http://www.wikidata.org/entity/Q821014","Port of Tanjung Pelepas","Point(103.54836667 1.36634722)"
"http://www.wikidata.org/entity/Q4650216","Nusajaya","Point(103.639530555 1.4775)"
"http://www.wikidata.org/entity/Q231318","Johor Bahru","Point(103.733333333 1.483333333)"
"http://www.wikidata.org/entity/Q334","Singapore","Point(103.8 1.3)"
"http://www.wikidata.org/entity/Q1906213","Bukit Batok","Point(103.76368 1.35903)"
"http://www.wikidata.org/entity/Q7680667","Taman Universiti","Point(103.617 1.53333)"
"http://www.wikidata.org/entity/Q10104","Tanjung Pinang","Point(104.483333333 1.083333333)"
"http://www.wikidata.org/entity/Q10103","Batam","Point(104.016666666 1.067777777)"
"http://www.wikidata.org/entity/Q6773958","Marsiling","Point(103.774 1.43254)"
"http://www.wikidata.org/entity/Q7683421","Tanjung Kupang","Point(103.592 1.37663)"
