"place","place_label","location"
"http://www.wikidata.org/entity/Q11413152","Kishiki-chō","Point(139.636111 35.894444)"
"http://www.wikidata.org/entity/Q7413191","San'ya","Point(139.799417 35.728986)"
"http://www.wikidata.org/entity/Q11633493","Toshima","Point(139.7496389 35.76424444)"
"http://www.wikidata.org/entity/Q720644","Asakusa","Point(139.79673 35.71472)"
"http://www.wikidata.org/entity/Q1984067","Nezu","Point(139.765741 35.717373)"
"http://www.wikidata.org/entity/Q576781","Ueno","Point(139.774019444 35.715469444)"
"http://www.wikidata.org/entity/Q5994914","Iidabashi","Point(139.745 35.7025)"
"http://www.wikidata.org/entity/Q542366","Ikebukuro","Point(139.711111111 35.73)"
"http://www.wikidata.org/entity/Q720383","Asagaya","Point(139.635 35.7047)"
"http://www.wikidata.org/entity/Q11431451","Yumenoshima","Point(139.830211111 35.6499)"
"http://www.wikidata.org/entity/Q418096","Akihabara","Point(139.77313 35.69836)"
"http://www.wikidata.org/entity/Q3083463","Ryōgoku","Point(139.794052777 35.694833333)"
"http://www.wikidata.org/entity/Q11508327","Nihonbashi Muromachi","Point(139.77252 35.68664)"
"http://www.wikidata.org/entity/Q3274876","Kajichō","Point(139.7708611 35.69169444)"
"http://www.wikidata.org/entity/Q3120746","Ochanomizu","Point(139.764167 35.698333)"
"http://www.wikidata.org/entity/Q975067","Sarugakuchō","Point(139.7586 35.7002)"
"http://www.wikidata.org/entity/Q1795214","Kyōbashi-ku","Point(139.77197222 35.67061111)"
"http://www.wikidata.org/entity/Q1720870","Nihonbashi-Kabutochō","Point(139.777777777 35.681388888)"
"http://www.wikidata.org/entity/Q1249041","Yaesu","Point(139.769805555 35.680102777)"
"http://www.wikidata.org/entity/Q2404952","Ichigaya","Point(139.73768 35.68714)"
"http://www.wikidata.org/entity/Q1552735","Hayabusachō","Point(139.74358 35.681264)"
"http://www.wikidata.org/entity/Q1268102","Kasumigaseki","Point(139.752997222 35.675172222)"
"http://www.wikidata.org/entity/Q1197269","Nagatachō","Point(139.740258333 35.678755555)"
"http://www.wikidata.org/entity/Q1075077","Chiyoda","Point(139.753973 35.683851)"
"http://www.wikidata.org/entity/Q1376701","Yūrakuchō","Point(139.760544444 35.673163888)"
"http://www.wikidata.org/entity/Q416131","Akasaka","Point(139.7317 35.6747)"
"http://www.wikidata.org/entity/Q1201337","Tsukiji","Point(139.7739 35.668188888)"
"http://www.wikidata.org/entity/Q1048979","Tsukishima","Point(139.782658333 35.662847222)"
"http://www.wikidata.org/entity/Q746052","Ginza","Point(139.76717 35.66682)"
