name,lon,lat,osm_id,osm_type,wikidata,place,
Baffin Island,21.7976671530864,79.9959890582117,3957497,relation,,,
North East Land,49.019131972554,80.4868144082954,5856703,relation,,,
Prince George Land,-94.6738393120152,77.6357364608047,3221629,relation,,,
Cornwall Island,-46.7032110531986,82.8951695855219,1657340,relation,,,
Sverdrup Island,32.3861948746269,80.1701332000001,199906929,way,,,
Kvitøya,127.947340606401,0.934066121144475,3358168,relation,,,
Halmahera,60.8812046997162,81.0124950908574,4097656,relation,,,
La Ronciere Island,-18.9333238785714,81.9363845154762,3241538,relation,,,
Prinsesse Thyra Island,-72.3192615089486,-53.1086011832232,199906928,way,,,
Isla Riesco,-68.7247267059365,-55.2145778030927,1997227,relation,,,
Isla Hoste,17.6228370905469,69.4102075552666,2716398,relation,,,
Senja,-57.7939280275614,-64.1331599045222,4106830,relation,,,
James Ross Island,138.229970583466,-8.02341339641434,2968185,relation,,,
Pulau Dolak,-90.0775336798004,76.6439553788786,4097002,relation,,,
North Kent Island,-78.7918320574041,69.1196443036569,1657345,relation,,,
Rowley Island,-72.7944461961665,-53.7728793961132,6103808,relation,,,
Isla Santa Inés,-67.9039796275371,-55.0795846094397,5145200,relation,,,
Isla Navarino,-103.03515636704,75.9926011804884,1997761,relation,,,
Massey Island,-17.6997653785714,81.6325554904762,5365900,relation,,,
Prinsesse Dagmar Island,14.9021067064911,68.761263967842,199906927,way,,,
Langøya,-79.4460598853502,56.1244783497163,4106887,relation,,,
Flaherty Island,-79.2279368301497,75.9303443385769,6101461,relation,,,
Coburg Island,50.005347993702,80.1276425020737,1657339,relation,,,
Bruce Island,-76.9577682097535,69.3282239137924,205677610,way,,,
Bray Island,28.7303755621762,78.8952408264249,6103806,relation,,,
Kongsøya,-70.549033269874,-53.9501363258687,27318563,way,,,
Isla Dawson,50.5945852140078,81.1152005351492,1997921,relation,,,
Arthur Island,25.708921852412,71.0776465574532,3221704,relation,,,
Magerøya,-72.9991668576369,-44.6299256698165,2248125,relation,,,
Isla Magdalena,-129.826006682619,53.5044480847828,4769544,relation,,,
Pitt Island,15.8739749952868,69.1690261669841,2144805,relation,,,
Andøya,98.9777947842407,-1.3622312850186,4108337,relation,,,
Pulau Siberut,-73.9254951758387,-53.0838090720807,5327324,relation,,,
Isla Desolación,-95.6899210424447,69.4538372773873,1997823,relation,,,
Matty Island,86.7123314337436,74.8943342634871,6121883,relation,,,
Kolosovykh Island,81.9154205991804,75.3141141563231,23660936,way,,,
Abagaitu Islet,-74.1874376647303,83.098164949585,6058421,relation,,,
Ward Hunt Island,-71.9127998117965,-54.0741767322741,2835607,relation,,,
Isla Clarence,131.403365701722,-7.63151419630382,2142284,relation,,,
Yamdena Island,112.401738117702,76.5357510505098,4820433,relation,,,
Severny Island,-6.07043083528651,56.4249673032754,2571809,relation,,,
Isle of Mull,-75.064260066423,-50.2010752683555,5396134,relation,,,
Isla Madre de Dios,-95.5532704317535,74.5808441337678,2715606,relation,,,
Griffith Island,-75.2810459962963,-48.3089510417016,1657342,relation,,,
Isla Campana,161.318476651579,69.1116612176315,2717291,relation,,,
Ostrov Markhayanovskiy,53.3207303249011,80.5612886760869,6878015,relation,,,
Koetlitz Island,-67.1192763,10.5319541,205399877,way,,,
Carayaca,109.138576,34.407536,2778765925,node,,,
Xiquan,115.9285993,28.561513,2470112498,node,,,
Nanchang,82.9757163,25.3184487,2703827784,node,,,
Varansi,38.9324771,15.3356242,4180897951,node,,,
Asmara,79.9196814,37.1144637,4275565498,node,,,
Hotan,8.7496846,3.7384975,244080551,node,,,
Malabo II,43.118889,36.335,2805241502,node,,,
Al Mawsil,43.611749,43.4903997,2488246689,node,,,
Nalchik,-81.3283355,48.4760636,4427474597,node,,,
Timmins,96.0921512,21.949909,3015554560,node,,,
Mandalay,-79.4607617,46.3092115,4210859189,node,,,
North Bay,-93.0802073,44.9101545,4771916237,node,,,
West Saint Paul,119.5785833,23.5662167,990676409,node,,,
Magong,9.609466,59.207622,60655645,node,,,
Skien,-64.7103997,-3.3483673,31264139,node,,,
Tefé,-68.3242627,-34.6180982,4322288918,node,,,
San Rafael,-102.2962261,21.8805731,4397036789,node,,,
Aguascalientes,120.0870426,30.8899355,4392443463,node,,,
Huzhou,115.89149,29.610123,3822785671,node,,,
Jiujiang,104.8803934,-4.8243315,3451759881,node,,,
Kotabumi,30.4596582,-22.9676429,3289694855,node,,,
Thohoyandou,124.8768238,48.4812343,4564369375,node,,,
Nehe,123.6287226,-17.3031912,1593383674,node,,,
Derby,108.374996,30.8151723,316203762,node,,,
Wanzhou,82.9308106,41.7136343,244081989,node,,,
Kuqa,31.2083781,-26.4462848,1941422496,node,,,
Lobomba,116.0800304,43.9450508,4415037938,node,,,
Xilin Hot,39.5769935,5.3348577,244082091,node,,,
Negele,113.7949191,35.200035,1197154208,node,,,
Xinxiang,129.7877344,41.7866902,244082432,node,,,
Chongjin,27.8095803,11.3305456,3209302271,node,,,
Babanusah,100.1745571,49.6284811,321502878,node,,,
Mörön,16.0460509,1.6096545,1984004255,node,,,
Ouesso,-18.0913027,65.6825696,3300968249,node,,,
Akureyri,106.4589689,48.8519187,242107681,node,,,
